beta,b,gamma,c,eta_0,epsilon,kappa,lambda,phi,I0,x0,C0,Error_I,Weights
0.5096485893068391,0.679867542390175,0.46574389867727706,0.008922987044195179,9.516072513558116,0.6271099592444203,1246.2285749345192,0.1673349488785531,-54.16846400477637,4.6561402981945275e-06,0.05697149809199875,5.06751367344798e-06,7.297589069390354e-11,0.001
0.24206614699655626,0.9737851574768221,0.154406214879639,0.0024669449431400105,7.288788833678243,0.38290487095005865,1609.0792833930743,0.19081096848748758,-63.287650836906835,1.7089613676610113e-05,0.030512890686997585,2.5180833382159515e-06,8.65934902414144e-11,0.001
0.2990095762759627,0.7960820937391963,0.2613684356191681,0.0008800602959630388,2.244421676908683,0.3794046832641763,3809.3294133343466,0.14292018593901987,-55.89708547973686,1.1158590500592553e-05,0.7121043906880846,9.52505391848118e-06,8.721026850358009e-11,0.001
0.4722762356176772,0.6127609876202558,0.28622219806599336,0.006653759217191833,9.436917497987627,0.578845893458511,4794.501799716033,0.16702656588926024,-87.10814817546968,1.694930847684874e-05,0.11290772346991007,9.379885913383048e-06,8.859266369962806e-11,0.001
0.47525850138232284,0.659578155376964,0.4828882331625418,0.004071076608239665,6.617881084242003,0.1272477254058324,4598.707308723149,0.19620039461300864,-50.2496599137681,2.0194523100884966e-05,0.6121029791245333,2.4411805891189804e-06,1.2668941307930369e-10,0.001
0.5316164477178206,0.5890552230299327,0.4384637620639781,0.008906625654998364,9.48953550737667,0.6001482973274347,781.6559193289318,0.08628716124497005,-71.01823989463932,2.0188964503520654e-05,0.5780789343143885,1.845307650492079e-06,1.4972805987331282e-10,0.001
0.3724099491466506,0.9289875704470789,0.185252370196837,0.006129773456431361,2.4365947375896115,0.3923156362173321,3745.304672295326,0.09888526321753684,-84.1437131412159,1.1557485243971843e-05,0.6263212972912161,1.6885144206701183e-06,1.5706075625151654e-10,0.001
0.18527878165271014,0.6191832866168736,0.11969237099318085,0.001581739474540269,1.1169816607998095,0.4374740721108521,2481.730585741761,0.04775113940182092,-65.18725746134899,1.1319371122709397e-05,0.5557388825505546,4.17641524016085e-06,1.7552972040663543e-10,0.001
0.5502133835763049,0.6031248634899287,0.3774488455852899,0.0025375468501796184,5.829438134101363,0.3347434505059087,4057.76939312073,0.09321101278433384,-84.42071845449325,8.343429773133166e-06,0.2673601754133976,1.7254425160195513e-06,1.9619661912643256e-10,0.001
0.44469616554052027,0.743867669945786,0.345964385317157,0.006322763514985558,7.3865378879377825,0.561518018727259,3229.574735010873,0.194716382515401,-67.08368048054686,1.6842028464823515e-05,0.8740545789718583,8.122013374248194e-06,2.1523116451996505e-10,0.001
0.242595107799902,0.7850396810079654,0.12032772510786455,0.004305780813672701,5.905958171683587,0.3118360744996367,3072.158415198228,0.10221871736648391,-74.47124169383868,8.253662644549311e-06,0.9115956790889831,1.0344265698512867e-05,2.3308336861445376e-10,0.001
0.6342513237737457,0.83206950242845,0.41094661147831724,0.005428520106955243,7.561118624084826,0.24664828237213118,1076.8170004646167,0.09279155245054793,-85.98732134243087,1.9677477772452177e-05,0.6574370662023037,5.2284526221118595e-06,2.601569183556731e-10,0.001
0.3411779497202807,0.5506474156332241,0.28103637947462523,0.0020128917085948574,4.072488850240813,0.4199321383764636,2498.006705340343,0.05938793707120358,-59.540411607835566,2.300315610754401e-05,0.849737353332448,1.0692741205849026e-05,2.7693119016682255e-10,0.001
0.2549028599539631,0.5577501962347932,0.22680903292754184,0.0009049746741603404,4.131999742782254,0.4538351822590502,2495.1393645481294,0.10549373270143586,-52.221516734913536,1.3119593304579019e-05,0.1561472473460468,2.8811858712606775e-06,2.9831154495629284e-10,0.001
0.2871974867748138,0.656014904884357,0.283383065847622,0.008774081934613128,3.2826499118317574,0.4168614531154514,3087.2698882098734,0.012171936392932882,-55.20578659204368,2.1781036781669216e-05,0.7759738690779581,6.266149311263671e-06,3.019310630261713e-10,0.001
0.3619686015328689,0.8584194397058281,0.1990290512717663,0.0009284628676788387,8.076790848896739,0.1471383967287055,283.44331262584257,0.18453151474237256,-82.42790378840922,2.0772357069297307e-05,0.9739870449042707,1.182734055726538e-05,3.0432398450844653e-10,0.001
0.23270011557295156,0.657211754689563,0.17731661227651802,0.006249217123029389,5.207978511883558,0.13988316818267416,1002.7097917828274,0.17165796349522944,-60.467388452322794,1.1415330939247918e-05,0.25149141247761997,9.204932233747256e-06,3.2331194438343485e-10,0.001
0.3961123760956583,0.7428647832076364,0.23262709533794232,0.0027423138971113172,8.45204136022144,0.46858964047673557,2339.567694194798,0.1676418872323442,-88.08326754141373,2.00079477323029e-05,0.12680231115653318,7.553819023908623e-06,3.3215600880804094e-10,0.001
0.3997455675184638,0.31157150633088837,0.3027498562160501,0.004281380626409682,6.454915416413096,0.28465751664447436,1500.1636315215883,0.1786706719451734,-75.23988883526273,4.539250440974123e-06,0.355348371528459,2.9985500395887422e-06,3.3286504892612035e-10,0.001
0.19838275033872643,0.19781171940946674,0.16597889334108942,0.004455399025127251,1.002137372800554,0.13417688183824314,507.1596229296227,0.03815310089554389,-56.42169863041087,7.805653062947943e-06,0.6531283182154949,8.837018966145276e-06,3.3632157170939525e-10,0.001
0.5456036138776299,0.39719882636319537,0.44651069209253913,0.008638362778452756,1.2704492091610609,0.43919884742252246,4341.091177411686,0.007521516544766738,-93.98468915697237,2.093295500379783e-05,0.17263308999992943,4.6808840790230595e-06,3.3665705421571254e-10,0.001
