beta,b,gamma,c,eta_0,epsilon,kappa,lambda,phi,I0,x0,C0,Error_I,Weights
0.4771143510801811,0.03842520829405105,0.45907723291705893,0.005788885292330278,6.32403509212305,0.22328382484766057,3165.6475087049585,0.14235920224671864,-94.05694844404557,0.00017739580504598021,0.41296525590165545,1.9138724008325466e-05,5.103590315048632e-10,0.001
0.16264738473883888,0.2849288663458076,0.13623500314601666,0.00761796124405322,3.7416572446085663,0.16098343064737491,4108.520769179873,0.12139733219211313,-56.3548747461673,0.0001298339392774468,0.6895531075288451,1.9501141020751627e-05,5.54560403642135e-10,0.001
0.530521528037858,0.37243334303428155,0.42570901715437715,0.00637359231412404,7.384525596608375,0.2683018336409357,1145.023276535128,0.011504583924676038,-75.48381871267131,3.2960837587395915e-05,0.6126041940098421,9.450617108729827e-05,5.823141706691146e-10,0.001
0.38068847035354525,0.44439562242416697,0.28050583869627516,0.0038790045889042935,2.8732055827520573,0.18659779191666453,2552.796099567575,0.11393427859692516,-92.3782757154276,0.00014253469354696285,0.9863441963845636,7.656159238153254e-05,6.192624737032128e-10,0.001
0.3746588648907381,0.3305828671588723,0.35409591985917743,0.0015622366344787309,5.180052989749681,0.779956331384309,4922.252722448204,0.015147189913528081,-52.63779632637143,6.830417272836684e-05,0.8206101018492176,3.4294302563610885e-05,6.381289657975093e-10,0.001
0.19214684257577394,0.5184745522951841,0.10361915404136562,0.009965547647606668,9.392533730691676,0.294890321173377,1996.2529621043984,0.19227430699525522,-66.21037202369554,1.5877679072432625e-05,0.5028471849540723,4.886775701120818e-05,7.304381078362985e-10,0.001
0.4765618361225096,0.04302694204014201,0.4592446526443765,0.0052739049186184194,9.259306384847832,0.11536591404425167,1809.8359788591515,0.08517674784378458,-88.0858752213712,0.0001692106401026991,0.5838051019818283,3.741459286916183e-05,7.83355665584072e-10,0.001
0.3021829136020487,0.6076038138764078,0.22507462613546206,0.0034848791628742603,6.566586005902079,0.7234493486044765,1479.5190591618698,0.09521230674703339,-75.72917821656321,9.197892227742464e-05,0.9554373300806281,4.126762261210715e-05,8.034800773326297e-10,0.001
0.34947257612750793,0.3489575851949933,0.3024365103380047,0.0013292393813717862,3.295256767102782,0.4504866906814582,1464.2573604638403,0.09526483285753562,-64.44093593547102,9.46150507712093e-05,0.5324587790341575,2.9645044970252777e-05,8.085487588146939e-10,0.001
0.41785346144154767,0.4255902411770782,0.33448465662497173,0.0058498448749869135,7.235227644635548,0.41420283748564546,1237.7193225575204,0.13459379349597317,-75.43059029965531,0.00014313153619552684,0.04670276660886674,9.963322113934963e-06,8.098447268496905e-10,0.001
0.3570924116023445,0.9267347624515976,0.21831011948292783,0.004121670870168926,7.67486139756793,0.4726416880091906,605.7589269811572,0.12641637131191663,-82.47311917261158,0.00011029867724252174,0.8047242922873312,7.637916157532194e-05,8.150196421926487e-10,0.001
0.4289471423430403,0.7224150808589845,0.27716238246229385,0.005848301610399691,4.3234412623744465,0.16028130543243163,3973.2118279805395,0.18974069127461313,-82.04680016312598,3.9244496696487467e-05,0.9923782051797709,6.428858069173059e-05,8.356699697132149e-10,0.001
0.625946508427577,0.5336863969688723,0.44271569359394936,0.006593952709496249,8.848482915281604,0.7147585256836131,4266.017814517676,0.11646319507250627,-91.18411635396046,4.2175269110800804e-05,0.3186709463023194,3.2431573115734946e-06,8.420359455297508e-10,0.001
