beta,b,gamma,c,eta_0,epsilon,kappa,lambda,phi,I0,x0,C0,Error_I,Error_X
0.36773411061206274,0.5044019426855509,0.2500846720190468,3.907034819632394e-05,2.856205708124587,0.37705919684318234,2685.669858273052,0.000587632815998318,-86.15906625225156,2.5023409116905823e-05,0.07283731118535347,9.912578602475558e-05,3.5696027556938736e-10,0.1336950546119475
0.26866405313240116,0.20272238184797287,0.20983053444683622,2.790974319972772e-06,9.516709584837262,0.6610207627768563,4200.593619547825,0.08536024126062146,-47.862846757279,0.00014970777638372563,0.06975361694307639,7.70319267173228e-05,4.563222158064118e-10,0.15308266573851959
0.3908632944779523,0.5597229539204098,0.4322796778876209,1.0773503127858852e-05,2.625072418930377,0.63072202594437,3081.8264088811784,0.05019321057187187,-49.202446597746246,5.3575714230579445e-05,0.09581455996133836,4.089293890385426e-05,5.259605388249939e-10,0.22389735167798705
0.35897552498254726,0.13578383463360177,0.34582831557687266,1.185173850014265e-05,5.360654947970516,0.2902884362887194,2814.6356845014084,0.04411805259905575,-88.95940328762478,0.00013515037507074354,0.06329823950582658,0.0001071924181264312,5.451410368918296e-10,0.24636101017149542
0.2921111562876518,0.7731831111974239,0.1930015051651211,3.166997356519152e-05,6.8091403844630225,0.26832276557521073,508.2743203517373,0.09516460648475032,-112.56839241269523,0.00011110586448473513,0.06905196820442948,5.736509991362668e-05,6.319208702258212e-10,0.24952965179264452
0.7176651429214383,0.8497473561233445,0.4512680517418851,3.1933468117093524e-05,1.2113285863911525,0.6925022083351943,4809.425843010778,0.03364225872467839,-76.36178822031025,0.00015931439017657773,0.06239624598329,5.5181948229991955e-05,1.2943315018646046e-09,0.22822713494864863
0.795537865772549,0.6747579483299688,0.49289849308705047,3.214796701033529e-05,7.709777148646361,0.7702700534968171,4159.43186009846,0.06336743517301245,-73.39840800847706,0.00019556633367728423,0.08172924226204603,9.1116747539661e-05,1.5043486084389874e-09,0.24273266977234273
0.6232314420447047,0.06154849737389456,0.4308562918157052,1.2653702502055663e-05,7.432110395646234,0.7396265466727959,496.82387194013864,0.018592020965004452,-96.46837361499394,0.00010310653280478693,0.08224042241389153,5.1449750370012675e-05,2.1724122596558024e-09,0.04445619476271554
0.2776208031768914,0.54576960171984,0.18192124067495394,5.3077726608425914e-05,1.8843548268615127,0.2850156524788811,352.82839078707354,0.0148890106100666,-76.08360378311095,0.0001685036373131611,0.09814595898824073,2.7307473309191307e-05,2.263459951478002e-09,0.20132486837068705
0.7466140838971473,0.22636400456199024,0.3934440418725492,3.598781557609066e-05,6.298186460253988,0.6527490917499668,1402.4719675830283,0.0005201381677055306,-121.04805814406343,1.083982588656976e-06,0.03963510551354236,1.790543826311452e-05,3.2223128840607725e-09,0.1382791706624097
