beta,b,gamma,eta_0,phi,I0,Ii0,Error,Weights
0.4406116320924104,0.6794694314545434,0.19837880011240738,7.683141983456889,-89.02705840024575,1.0399933989929478e-05,1.0659952717934483e-06,1.4949338038018116e-11,0.001
0.28212669993371353,0.7071380697724284,0.12930501759660823,2.8002347005271497,-79.00986260432896,1.3356497042484183e-05,1.0847289178718714e-05,1.5665863318927837e-11,0.001
0.4936131233815505,0.6327342597490624,0.2423655493652524,2.7781247710285735,-93.2153662274387,1.1302017289986416e-05,1.0734865755078261e-05,1.6460053407847432e-11,0.001
0.4203847863089444,0.7674543086724148,0.24851104156861395,5.699797235657377,-63.421190464585564,1.8038755526007651e-06,8.381265802627826e-06,1.6511197970546224e-11,0.001
0.5385594420949165,0.320006263873138,0.41369694098441634,1.8278596042927469,-52.581983874920624,4.481047608991634e-06,4.921348582046218e-07,1.6859838208357226e-11,0.001
0.413750856759195,0.10856506880510375,0.3091032107443722,2.7704882252044576,-62.27121026455312,1.7306510041611973e-05,8.76643173678221e-06,1.713112704424947e-11,0.001
0.3149793429202413,0.9541706721859454,0.10378061486220243,5.36875307965966,-86.5830690323215,1.5049945806550977e-05,5.010182285497283e-06,1.7245266298552627e-11,0.001
0.6047394948989713,0.48389224104155604,0.32678684719574785,8.48609733472058,-87.77379435439094,3.3769496967926577e-06,8.826752947428212e-06,1.730703124225458e-11,0.001
0.500909102635699,0.5340271473819178,0.3150072224695599,4.221881456515329,-73.95294248118267,7.032125187774301e-06,2.8314754113289197e-07,1.8355511434176572e-11,0.001
0.6118489462163643,0.84726722954053,0.22253967095132615,5.881633458648432,-83.03789575585256,1.1962529156988132e-07,1.176012163943911e-05,1.8356255187597876e-11,0.001
0.40198891793882685,0.27201386080535384,0.27558758268724604,1.441019903926888,-84.36847683779789,1.3960354434064577e-05,1.1607159581393517e-05,1.8797047984523966e-11,0.001
0.2720884109405989,0.09786874491491682,0.19947879185206385,4.039482077505457,-48.87546494371685,2.1548086402919505e-05,8.488802854666387e-06,1.95434625638954e-11,0.001
0.6327764408174822,0.11474425818372558,0.496838733312681,3.4235081886807492,-46.95282829784544,1.5571500039156932e-05,8.148063206900277e-06,1.958312338013522e-11,0.001
0.5944218250876329,0.29196099175077317,0.4550498452515631,6.68474605786175,-56.691917773826674,1.3535596365182721e-05,5.030501680869623e-06,1.966011752306693e-11,0.001
0.4854131889014538,0.3845784205495405,0.2860510706178226,8.045564268576875,-75.65869658498974,8.30000817157126e-06,7.816413804110683e-06,1.9968668817187066e-11,0.001
0.28259027819228477,0.6663915580281872,0.21032992679976867,5.265604029224979,-48.517167478285046,9.347911756961375e-06,3.844522774541845e-06,2.0143869714279224e-11,0.001
0.4352131066370739,0.1320370060620789,0.3455021767176237,1.508367123013452,-51.69281708563783,1.9172189306863898e-05,9.361038565386118e-07,2.062823780952803e-11,0.001
0.2321879696537309,0.644751837398625,0.13853699513009837,4.1829109081545806,-63.51146632829648,1.4284283686612883e-05,2.4999550829610653e-06,2.064969934641859e-11,0.001
0.5684600293826868,0.35898548560798926,0.4206354895341712,2.7965788506466187,-54.507100495640785,4.332842053117148e-06,6.981750933603877e-06,2.1119625972276965e-11,0.001
0.5733908165074126,0.13476600655684778,0.4192698451706942,3.7561520723907544,-116.60931019303057,2.208363965306238e-05,9.966634661775998e-06,2.145871734327582e-11,0.001
0.5223209447679068,0.5580779009903467,0.285843349406624,3.778615308908341,-77.67179508129631,1.0697878289472666e-06,8.609313062990377e-06,2.2009064941799524e-11,0.001
0.242366770712521,0.484590600253871,0.14657100349995156,2.710253692414635,-57.54607039078569,9.23927769991666e-06,5.360687957870727e-06,2.2037452410576837e-11,0.001
0.4751082030402983,0.5629118307738105,0.33367405384301746,5.618603368913366,-50.000330823276215,1.6831581201993542e-06,8.427289525617159e-06,2.212706852725636e-11,0.001
0.40637512606914017,0.48229690940581504,0.3044104768334549,2.084344235449053,-63.135341967695595,1.539398657995421e-05,1.980520226326441e-06,2.2773889417800144e-11,0.001
0.5388342033002665,0.048937511526277344,0.418954428044254,2.9312579785105575,-67.98666755052406,1.2912958964803837e-05,7.886128850698366e-06,2.279707701644684e-11,0.001
0.2810140957765073,0.6319012563773089,0.1803549897776831,2.0568685159924307,-46.04755149000249,1.2678662639423052e-06,8.546846408998026e-07,2.3614598176959722e-11,0.001
0.5640316235311713,0.020986950196033916,0.4425195319652482,4.474874440567398,-68.6482681216194,1.5493377279164038e-05,1.0414887703659358e-06,2.373584640367742e-11,0.001
0.4354392727118981,0.36591917433090504,0.26253445647314066,4.982512209337539,-87.20388775787254,7.090637028100271e-06,2.8755449369547715e-06,2.3869375776473e-11,0.001
0.44941768145885275,0.22259956357764,0.2977287792781701,7.662414549055433,-99.38259894031452,1.3504224472608963e-05,2.3247613740401943e-06,2.406607885854366e-11,0.001
0.27384618012978673,0.104800189150973,0.20084383123772703,1.1292918879906426,-116.21511259073273,7.350110785437732e-06,2.3656298833750373e-06,2.4336291271214782e-11,0.001
