beta,b,gamma,c,eta_0,epsilon,kappa,lambda,phi,I0,x0,C0,Error_I,Weights
0.525110428924437,0.7179054488003522,0.3388219434905877,0.005634596850766289,8.083235075101356,0.16049286096571178,878.9946727891848,0.18375904218119699,-85.42244267568233,5.063871227605661e-05,0.9883572058010919,7.313996505466382e-05,3.404615809098607e-10,0.001
0.31574983895063446,0.9606045322720627,0.3176686660412342,0.006568098219563682,4.8767028186395365,0.7483374856924936,1710.9634962668058,0.08550994078118337,-50.444003291494155,3.942437038724352e-05,0.577447940823307,3.9203025815918336e-05,3.956716036190013e-10,0.001
0.4694766159062159,0.5030193898178675,0.4332727643001003,0.002219225617562239,8.368380741179251,0.7351034957277067,681.1413160677738,0.08370248090166024,-61.2090653282619,7.056399739566872e-05,0.020676005667143893,8.923147790754537e-05,4.5458503504294374e-10,0.001
0.38551624570053644,0.32598722661193436,0.3386572866770481,0.00957062904413454,2.5339912148255106,0.17590826982469474,3141.717983518401,0.15831535649135736,-74.64050416524687,9.900629289999658e-05,0.5107173280292981,0.00010291749743699309,5.520773068287223e-10,0.001
0.20954638884320229,0.8192133796015829,0.18547779680035215,0.005355313219703082,1.9319597091822085,0.44101460529844205,4020.6554246206542,0.09866225394298944,-66.65708387715979,0.00021035129516803225,0.8893051085216529,1.626136705976515e-05,6.046006108625817e-10,0.001
0.6656329902128494,0.8638734811064895,0.32177027696636196,0.007314805188684287,9.412733876723966,0.20117248637313095,2070.168698181134,0.08580455938411032,-95.87056408992918,1.939170272094572e-05,0.8980026380246656,8.366663138211496e-05,6.197461420457775e-10,0.001
0.5011812489620956,0.8076147136259925,0.277822740724612,0.0010966920108523937,2.1052209350038256,0.754601794787102,765.0724238812851,0.12457787629753708,-83.66422962900633,1.0804824534785635e-05,0.8079575391070151,8.906686556870997e-05,6.267163187498731e-10,0.001
0.4484892981091919,0.3042419412518067,0.3939294678545048,0.0012905641277098766,5.031023229608115,0.2460885433996184,325.26123799687036,0.17077542769207507,-66.01936264619222,0.00011993975425982795,0.9128045670651075,8.603493810319267e-05,6.378175865227689e-10,0.001
0.4791016053153889,0.5037840540602001,0.4839265740197952,0.008573439736676014,3.9683876657155053,0.31450557582462363,3941.1105866167604,0.15125794410586094,-61.504055648238335,0.00015350481169806304,0.8370748634723099,0.000114662019748678,6.764767011763796e-10,0.001
0.5408394050238963,0.20684275567227628,0.490359226299495,0.0010370255654785854,4.465431660106885,0.3209746432213685,519.148611575994,0.06177380632379801,-74.19943233301888,8.577441427598122e-05,0.21321048659425001,0.00010361255666195165,6.985056966682999e-10,0.001
0.4835041414075757,0.295462704026098,0.4948200251146383,0.009544898989855144,6.357389826438892,0.2223251454084391,256.6190510061682,0.162362062458917,-52.288302235136854,0.00017428226581557926,0.19633389130513035,4.048606574767399e-05,7.168976135309267e-10,0.001
0.2167155750118208,0.4811292294936983,0.20501661459957743,0.0056456485892782985,6.878301861209594,0.6458607173107938,3463.7691103640004,0.15949533949355854,-46.89548845375586,0.00020227467753735858,0.6263429430827169,2.55597218871186e-05,7.187147184060302e-10,0.001
0.466383649105805,0.2092203074359763,0.42553155207644455,0.008023885971642794,1.508931902286515,0.6884354461797005,2795.9294233442492,0.05081514009731039,-68.5064371912712,3.0694983065628875e-05,0.2637215132366272,5.6881914787735545e-05,7.257170200784744e-10,0.001
0.3122428843149484,0.9680521049502783,0.3374912732676899,0.006540118000804739,5.141547231851498,0.4808663052120953,1951.2515184190524,0.04285908256653908,-54.525425287074526,0.00018313274167499908,0.13205068862008817,9.405843039405874e-05,7.404051215362909e-10,0.001
0.3681450521812576,0.5122262520048007,0.26488651424676035,0.0005732468101167454,4.71104421427351,0.7433266645824788,2583.977005233522,0.1777228022041385,-84.75256325273054,0.00011481320605233916,0.9158290301853852,9.471575985470836e-06,7.513812665184236e-10,0.001
0.4476727216925779,0.514673621881294,0.2927069298506352,0.0026067928174220776,8.469353886907747,0.7724088440530215,177.16702491876117,0.08781880720648988,-92.84881823136053,0.0002040880783911864,0.6437591754790534,6.73863842061625e-05,8.177357944698567e-10,0.001
0.44717061726129603,0.7498701230643661,0.36768424438630987,0.004334476379391556,8.501843776671624,0.5073962574723856,1935.5093107189261,0.024483614030342604,-76.47707163894732,0.00015215191401991696,0.8203803314211324,0.00010410889764409066,8.275283104748944e-10,0.001
0.15262513062094102,0.8197506699065731,0.11579913934967867,0.009067063500303901,8.129576748389997,0.13137285121860345,2785.6099013457892,0.09501011154498483,-48.387846217334825,0.00014569481881883026,0.08451169084512433,2.623199301013689e-05,9.239309022692455e-10,0.001
0.39740251054704057,0.7930660860467766,0.4788252398307642,0.0030119201012835882,5.851487718556074,0.2691558435609775,2269.9187903772277,0.029795689245485035,-51.05184931517522,0.0001437105762195367,0.10671287002731245,3.857155334506041e-05,1.041911700958351e-09,0.001
0.3975736598149119,0.738276320816543,0.310261601252174,0.001021797202277368,1.9207681848872868,0.7996115614014874,3203.821146386587,0.09024858511594672,-84.55647725144445,0.00018286820831011564,0.8882337878842567,8.884841219616305e-05,1.0534770576249216e-09,0.001
0.17011836592807728,0.4783641476247559,0.15038754473918675,0.0033625690879265113,7.430913153378587,0.44909116696629214,556.7565962699628,0.030522384741758193,-48.26945579413308,0.00018427785704389535,0.7782107517206314,7.341008918592444e-05,1.0579885921801053e-09,0.001
