beta,b,gamma,eta_0,phi,I0,Ii0,Error,Weights
0.37563271887622307,0.43977274197082905,0.22084649953138713,5.952728763963858,-57.09582050078993,8.008015043641317e-06,7.4184481489871235e-06,3.461924410544549e-10,0.001
0.23823419647782257,0.5421909947038807,0.12455047627462101,9.758359096537326,-62.77019910764673,1.8340912827718958e-05,1.0276383811843672e-05,7.712382029911406e-10,0.001
0.37463711678829303,0.3997084343121776,0.22800154309543147,9.92462618051704,-66.43916774232186,1.4033987170632178e-05,1.2893294974776697e-07,8.084615973603465e-10,0.001
0.41723394442482076,0.11061343498685416,0.3032733645905874,3.757361993168244,-76.69507587482677,1.5458762248268428e-05,2.9269279464119225e-06,9.220876694991498e-10,0.001
0.5506280805609447,0.02855084782756856,0.40828676490365323,6.652579518327938,-122.70242641325274,1.0533918171668776e-06,5.964373969684643e-06,9.223497043562067e-10,0.001
0.6225325087716472,0.19789209446309186,0.43543152518487194,9.15682669859929,-71.19555332144908,6.870065111261493e-06,3.7762138323253146e-06,9.264047033327129e-10,0.001
0.3478975224647919,0.17630168007701108,0.24154471280671813,5.606839753727424,-45.07722576954406,1.257809801613598e-05,1.4725115867254818e-06,9.334855964403927e-10,0.001
0.3174083743504039,0.10426214632117659,0.22010126348118814,9.92034811535422,-81.3982616093476,2.7099435624517117e-05,1.420186928663549e-05,9.605667430153669e-10,0.001
0.27471978032872335,0.27008476867994713,0.1759758224843361,3.2881265689762387,-93.71114838064508,3.5650167674028833e-06,4.858812380148715e-06,9.744177491195187e-10,0.001
0.2954323946281181,0.7950436882574776,0.13811147611274166,1.7073121586543358,-68.07384322014059,1.495015176120113e-06,1.1017599902404789e-05,1.0400017964033452e-09,0.001
0.17385727489804365,0.24556547247538296,0.11485662048674815,6.175761000328897,-124.52910258953729,2.891928691711777e-05,9.487471767409146e-07,1.0603784130280842e-09,0.001
0.26502121447585425,0.6432230516685665,0.1502930121308048,5.155155652070696,-96.18374433668032,2.8324440755999174e-05,1.1653627547329047e-05,1.0944495647492585e-09,0.001
0.2642691254679127,0.13128258242596058,0.18311208050408545,8.894654685789178,-124.68216674596633,6.48453907948725e-06,1.2312325286015917e-05,1.1735918391021267e-09,0.001
