beta,b,gamma,c,eta_0,epsilon,kappa,lambda,phi,I0,x0,C0,Error_I,Error_X
0.23300991660589024,0.755612494527714,0.11684174014170173,0.004273712625963762,7.138590455448668,0.20059298155945712,4548.1994669767555,0.07255549735140224,-83.35982529786384,0.0001725606528792928,0.581707820338278,9.387259977981995e-05,3.697148360714397e-10,0.2123434669324947
0.4855927049579719,0.3805835327779339,0.38803916379954106,0.00236582342052141,7.3937570707012785,0.7431524411338631,2825.2846387062423,0.0634300443368823,-83.18097450414939,0.00021775706764454476,0.9419646499431444,0.00011230721929996758,3.8928099070169875e-10,0.21234576523494778
0.48831912653477483,0.3612328720553234,0.3915800424964426,0.0013665299947240252,9.079091601869534,0.38227177366602405,2972.469614937077,0.09082624683477179,-82.63231080526654,0.00019029084532914321,0.34527706849286655,0.00010127054560215864,3.957989854184406e-10,0.2123439250499817
0.3241732314574029,0.8284711747658629,0.2689162751717149,0.007142682863421083,3.9746526557567177,0.4819902636658785,4719.054305180823,0.03419671089532785,-64.94325352183336,4.0217884367354973e-05,0.19001575631588485,9.855694048706919e-05,4.050099640563005e-10,0.21234346692914008
0.3299553151675735,0.7289284554619546,0.26052236926579975,0.0011452197089901227,6.823729675305405,0.36002035093533247,2274.2314119681687,0.041115778141485086,-65.40487297025314,9.401098847048285e-05,0.5996826359999573,3.7541255459195017e-06,4.5322337543692435e-10,0.21239655127228121
0.48634919461411374,0.7023076438016305,0.46365368858965916,0.0011137795784802184,9.521337571950765,0.5510016234558228,3528.136359372493,0.008544831923655183,-64.03535773461468,0.00012542525353383425,0.5248770551262668,3.726403476132414e-05,5.757691892985444e-10,0.21234594891355832
0.36580168812224045,0.3733479003934389,0.29276768513362234,0.004598743505005922,4.398500610112951,0.10271029685726207,4029.375861109807,0.01935385980471893,-84.32820245398463,0.000158895837084494,0.9981529039884547,8.273458931388893e-05,5.905791362709661e-10,0.2123434669086803
0.5088554982992722,0.4930923439810174,0.4190191035016244,0.007429195882018016,7.66953370740486,0.5859795017462597,2246.7788737919623,0.0656342300676906,-80.12750953117853,0.00014877953885989123,0.9625231035583711,9.704025906977744e-05,6.106397264950981e-10,0.2123434668622701
0.3664035987843397,0.29281044311607296,0.3720315079356765,0.0069561843988505115,4.967476733976117,0.45364381630348594,4677.59900794811,0.022666098099742182,-48.69221347781915,0.0002051046458446056,0.9503614311177263,4.555021324321619e-06,6.187270058347992e-10,0.2123434668810176
0.4892403576116262,0.23274041471614504,0.41411317464966735,0.006979554524239516,7.12907888518407,0.7237800371094302,1073.8157455913831,0.09755335984515578,-84.21513717782585,0.0001283660844472326,0.3886121436464979,9.069534797760776e-06,6.573176534924883e-10,0.21234346756123146
