beta,b,gamma,eta_0,phi,I0,Ii0,Error,Weights
0.6644243457311642,0.05997836182801364,0.49019825213961465,8.497005248755242,-81.81844330476218,0.00020137279216832758,1.5139098780424972e-05,5.555436361226134e-10,0.001
0.19490444357841152,0.4613485243541938,0.11897229558509,5.72319765767127,-47.02593931577832,0.00015690476609697728,7.542998788218639e-05,7.232073115308017e-10,0.001
0.27641407994389444,0.3422476206130426,0.17369254123835934,8.151874120057098,-56.8397948509738,0.00011398184505927698,6.725178862251713e-05,8.61277040112203e-10,0.001
0.5297198481274441,0.23569501425843897,0.36271053920345475,8.79579663012555,-45.305346493275735,1.974573488750596e-05,5.828087354842047e-05,1.0486669739350092e-09,0.001
0.30612368828281566,0.058270681821613435,0.22965235945266382,3.371054139351484,-70.91262489856291,0.0001805382241890377,0.00010079361418611463,1.2147132054870894e-09,0.001
0.5177416741347097,0.04702137032521003,0.38478926096660737,9.180941479256102,-95.62325816579235,0.000168611067818576,6.465820027338825e-05,1.6832859104991546e-09,0.001
0.6168540070471847,0.1770866139176952,0.43739890239256485,4.154327662646934,-79.71663085832128,0.00017263253833267714,9.734146095436725e-05,1.8329035867915856e-09,0.001
0.23815977009269523,0.06697034007981673,0.1738065973461198,3.686961487401032,-68.5919126071317,5.313160437684981e-05,2.6796938795795008e-05,2.0391224436638286e-09,0.001
0.5039934712929083,0.5614384169557615,0.29931597674817767,9.819680634499635,-63.52356236280927,8.825001149307177e-06,6.979769185533703e-05,2.0404335410060007e-09,0.001
0.261089105949909,0.26911187130248415,0.18141371606733647,3.5767516205865233,-75.58088200937914,0.0001579638236817343,9.294848370456202e-05,2.101690581623632e-09,0.001
0.5391588097183866,0.03244645486615627,0.42905102952332197,1.4251414188532312,-73.80768475645746,3.935549674104612e-05,7.7075827838316e-06,2.1812332759852086e-09,0.001
0.28518901506051886,0.32412790453497486,0.19055742668901485,2.525237049766168,-77.31646021530577,6.914397437600116e-05,7.047439968594443e-05,2.222317032696014e-09,0.001
0.21827951217730057,0.1620411684446661,0.14808486473461563,9.66965528462434,-100.48431748737616,0.00010757352178446012,5.8831308202838765e-05,2.2562725197774485e-09,0.001
0.43193349941926507,0.4719978655433652,0.2498961779498417,9.771651300833469,-77.98415698584915,2.059643848631567e-05,6.414981633190246e-05,2.306413778304304e-09,0.001
0.483997076394725,0.11415036258508271,0.3713525493634994,3.9377372402075386,-127.68170427456528,0.00019584923950034095,5.941068981404097e-06,2.329605024877412e-09,0.001
0.21380710274541467,0.21807977330433792,0.13652350146158343,9.209655105292523,-82.12570391757234,3.795291752328006e-05,3.469048379380172e-05,2.357679798612442e-09,0.001
0.1928420179595718,0.057909156928879324,0.1451932185529787,6.201658265220313,-110.56010793762087,0.00012768662857215142,8.664545938380696e-05,2.3657494083510598e-09,0.001
0.2123482302030973,0.41542461624010607,0.13320252568242583,2.7566368528532452,-83.11685093216255,9.289253582335307e-05,3.179662828054912e-05,2.366208538979338e-09,0.001
0.3536076773804502,0.681316353020619,0.21681788417894843,9.081565015226651,-64.75894837974649,5.649999075118425e-05,6.392598108340104e-05,2.395390025879624e-09,0.001
0.36492385379803705,0.02273910102202492,0.28770086617497004,6.32209931261807,-112.27685875128752,9.317406867212327e-05,2.0899094698458305e-05,2.4067156360486576e-09,0.001
0.4645144581336109,0.36673672260651846,0.3079503486980425,6.921317012377071,-78.30875525259653,0.0002017168567910477,5.2309843967303504e-05,2.412595895297506e-09,0.001
0.20014874877058064,0.30550876214012324,0.13344164341831558,5.216947849276805,-98.32518943453304,0.0001593866621821844,2.8691694283336e-05,2.4322810565701187e-09,0.001
0.3705056896808595,0.3233248351602209,0.2670416827542168,5.958466152400672,-70.16983177097362,0.00013913745650231165,8.323517993175743e-05,2.434744755596493e-09,0.001
0.43463435946398443,0.2645292898443753,0.303167441324504,6.558333430636224,-101.21918792824366,0.00016709924983116707,7.265620529963168e-05,2.4401334428577427e-09,0.001
0.3445423323257838,0.19985014164340242,0.25886155842489733,3.1459383227041418,-50.12512247095664,1.6428433946912396e-05,0.00010181112286367773,2.446494691819095e-09,0.001
0.26273917099718247,0.3926056686915943,0.22209447451415953,1.160264386951133,-46.885480530488024,6.533545726868228e-05,6.329700793156285e-06,2.455102060075563e-09,0.001
0.4602084355516599,0.20696779243160346,0.3464526919775462,2.3133877399451888,-133.32570283925352,0.00012193010634649049,6.385630321527352e-05,2.4580200721893943e-09,0.001
0.4921297523466003,0.24196742770963986,0.3538702294880991,8.04514902296173,-83.03430159313363,0.0002026535163308772,4.37779121940219e-06,2.471956038444825e-09,0.001
0.22933888272845132,0.531982612295798,0.1307947523832597,3.984211488702648,-102.92366830114679,4.643443891085737e-05,3.226666279897468e-05,2.4826706735416763e-09,0.001
0.17068645758678302,0.07697377517597592,0.1464402435649618,1.5595702763816015,-87.37440143571936,0.00016529796548436668,1.2834895246712132e-05,2.492884888464163e-09,0.001
0.24900995969534068,0.33075857956354526,0.1718369455634201,3.5272922971349505,-120.4873522702773,8.874167599190804e-05,9.552316112742384e-05,2.5053763158198014e-09,0.001
0.21765647922467918,0.1816083927663542,0.15893580528835152,5.216612562584317,-126.24681100897983,9.616870775182764e-05,3.0784524332742144e-05,2.512604654901629e-09,0.001
0.2387589903379478,0.2330648986715601,0.16319834033448555,5.410780836334147,-94.38186866776994,5.288710730698896e-05,5.507556473072912e-05,2.514036054837e-09,0.001
0.3917345691508104,0.4194846550937076,0.305643910766071,2.303458316629336,-54.43109992625632,7.329858372698578e-05,8.751580988042735e-05,2.514498000420605e-09,0.001
0.3578739140122341,0.3726160374243196,0.24258513356633848,3.2008339396982795,-82.5463286737503,8.451658426976911e-05,8.296580970021792e-06,2.523545876125833e-09,0.001
