beta,b,gamma,c,eta_0,epsilon,kappa,lambda,phi,I0,x0,C0,Error_I,Error_X
0.18550152585790214,0.027021403332963434,0.10876441335722747,3.3336922855498055e-06,5.159998493405873,0.5068986864195425,4368.872684345987,0.0712487745293228,-56.83433922700685,0.00028051213956310187,0.03212995732143784,2.0804358058744132e-05,6.668605843542388e-11,0.062416547085901115
0.45634747896603367,0.5148938689491813,0.34229953065989305,5.311065010945582e-06,1.659657417165071,0.588262169477006,3660.307545016445,0.01635786331526126,-118.77045568219269,0.00025973294162107895,0.09760371368911527,0.00015659745845872657,1.633715653424287e-10,0.08187192128021337
0.2855923577827735,0.9654254174366491,0.16033733168099099,1.5907522169023026e-05,9.6813702724541,0.6349633681783765,3067.682968973657,0.04639373827618936,-67.40147635514735,2.99271116820737e-05,0.07283740267137866,5.1958406428678425e-05,1.9342575906759897e-10,0.15654004654760065
0.4322400083459871,0.6341130845093716,0.23457606653324758,3.212301632779191e-05,5.343149675412551,0.46585796985135464,4738.030223038354,0.029310008309676828,-83.88848927824262,0.0002970416950176292,0.056225299459961714,7.725659504358874e-05,3.7020064445214815e-10,0.22847536925396203
0.3376380413884739,0.5509467753975503,0.336217811888295,1.950978230027878e-05,2.149397158815817,0.387087377897095,4523.875435439395,0.027045733325493784,-46.21907394769097,0.0003429942477404834,0.07613916374386265,9.137706280768142e-05,3.7614258925227155e-10,0.21158300117403883
0.6636106409696807,0.3169821331381585,0.21187471876342753,5.605968717946608e-06,2.1385837903317166,0.7579731023272331,1816.6182485992879,0.026920284921014483,-131.64379631917313,0.0001413160724459503,0.09906488189444149,0.00014263980392725055,5.520661648477692e-10,0.21590857564055882
0.42983467666542297,0.8266116759332853,0.21528393786100553,3.3248564296005645e-05,6.1094131311576,0.6472100940437644,1548.8740952156516,0.007932108314050824,-76.39278563901337,9.772409002721213e-05,0.09169659001466927,0.0001269733990751648,6.126797526042334e-10,0.10037035493672927
0.571291253656652,0.6131681907434791,0.27644178402478314,1.3156658026394208e-05,5.351623261602103,0.7058108760675207,4649.6169764515635,0.04908808382755869,-59.060608096493354,8.36566630389271e-05,0.06340246724069956,1.1077251934602384e-05,6.764421419428473e-10,0.14724007121789007
0.8412771703798622,0.6722343188732617,0.46002652523125176,5.7933764785633725e-06,4.994167790640285,0.38407779779898443,4785.202637189757,0.02946824357316862,-111.39426867836568,0.00017345258209368623,0.03218407017452524,8.739509095866929e-05,8.39507421408451e-10,0.08353082376111295
0.2782410098648175,0.37830203946787977,0.21417642031910536,1.1714798216518885e-05,1.6013967469518433,0.5057940318074176,263.2535606256714,0.029467396526405953,-81.47156217392356,0.00026722840927477363,0.06932507851358315,0.00012660394182044884,1.3140455786151694e-09,0.06476675849542413
0.5016525591869612,0.8152945993672206,0.14282258548683158,5.3378910353302225e-05,2.8741426710169344,0.7482190273289844,4164.267661457809,0.008817580126051784,-89.33637917645328,4.0411324836335093e-05,0.017526997494838926,4.642357419339826e-05,1.3598563804288385e-09,0.17597267926390944
0.6338525593946862,0.4484447505320326,0.19036173388123362,1.8287860739030216e-06,6.825442614952195,0.7322217197939568,1388.910327887055,0.07031838183624549,-124.42711750050103,8.710338983838974e-05,0.08671215814532876,0.00015900554849860224,2.068832400578055e-09,0.10549547187408294
0.7290290948981559,0.888259031121367,0.10325724855951712,9.557108162437933e-06,5.041226920466438,0.7309826168267501,3677.9022992201426,0.014298268051174935,-94.20247499865125,0.00011771200836547525,0.05169471672952323,3.905940994449403e-05,2.159829685096042e-09,0.23308818658295077
0.6394558598097521,0.7007791365296263,0.3593782855930582,3.269946878995178e-05,1.654109902963067,0.5892524116905414,600.1733103508911,0.028437912913773646,-105.96421529728897,0.00027592298790892107,0.05647165487061895,8.664047156316667e-05,2.298669764479778e-09,0.10285626340023526
0.44589323277049275,0.5272488072997595,0.19908757689928072,4.148543879206379e-05,2.940547957729851,0.5147882176247317,3059.2465455138913,0.02625815379988026,-78.99027891002824,8.261221844240277e-05,0.009924764238198559,8.028464817168788e-05,2.896074193030178e-09,0.20799735906531808
0.48435640533030566,0.9988222698846734,0.2348990169203019,4.388373888003283e-05,5.932624852824034,0.38744306873126044,4296.606706601319,0.060651695248831516,-82.17580300400238,0.00011563877939252886,0.025830119867209414,8.187286675913389e-05,3.000166790200277e-09,0.21440577462423221
0.38932689308968227,0.6200226981431664,0.17484756491349607,0.0001647122161238157,3.7513152858622276,0.6629584458002116,1574.1861957387455,0.026772075045010627,-72.23228914496588,0.00035716851309640325,0.06473609865443088,6.252659916484583e-05,3.090137038178268e-09,0.2379274240281415
0.5497907800891236,0.0360029533962587,0.31188298542622594,3.879027708588722e-06,4.308384700759114,0.5769379206903567,2474.1861573375345,0.1053076308219282,-68.62499059821475,0.00014542575605744454,0.06355021275821225,7.00372779721859e-05,3.3551688511595357e-09,0.06930021597594
0.5646091657135832,0.6775187770512336,0.294766436863325,0.00011484919614503709,4.04809349522442,0.6677090023631224,1789.543066608394,0.011484991397493061,-81.10605068731803,0.00013886168297562763,0.027650347162162747,7.796339455257303e-05,3.3986828067081405e-09,0.24187153860368724
0.8364613698852017,0.8989530899823012,0.2624786150921874,6.129669400878335e-07,9.035974206680507,0.5321340818015913,3974.974510918684,0.18984439651875873,-104.3403987003758,0.0003476919938622669,0.05951173132644129,0.00013204638614505495,3.4599820671267085e-09,0.13290987558803152
0.22746541928660538,0.9403510809444996,0.12084507958690138,0.00015012252324960617,2.7405709524229662,0.39856861739458016,268.1143604669219,0.018197013294873176,-73.88792476955867,0.0001198782489214412,0.050833189154267815,0.00016120283969372462,3.809282189236755e-09,0.09691776317364088
0.426045166861326,0.6092784268933586,0.17785325479268171,0.00021169932148268233,7.027938233652639,0.7633989783196132,4262.284939087412,0.006573146384184403,-54.27561882759811,8.223408869834116e-05,0.05938120792438193,0.00013458822302580412,3.899597271428687e-09,0.24814276835011093
0.521461784322303,0.38093819627985825,0.3429894026760436,1.113137431347666e-05,4.558986476957295,0.4405506463124115,1480.2984553767085,0.08126635209987512,-82.46092137921917,0.0003300940810113997,0.037546775898435684,0.00016796760095490432,5.051858671439045e-09,0.040440226897473446
0.537656121159983,0.27971251772304784,0.30569985827009005,8.882280962857036e-05,6.1090169197438415,0.4824841759556042,4183.224517301557,0.011601095990755296,-45.35367100677493,0.00011101629433511717,0.06508668206847161,6.249043255978754e-06,5.249815339256396e-09,0.2051364420367362
0.6041929205304806,0.5805624987979646,0.30645724885036996,1.2386955466625604e-05,1.6605885188123486,0.4729202735538267,4152.780359615082,0.1643785567093784,-80.17752350551342,0.00026824062301079,0.044750551998001126,9.83698113121062e-06,5.744573285893566e-09,0.1552292815756987
0.5930242756416645,0.0777414995781851,0.16322780538616324,3.189721158822989e-05,7.67117767347906,0.7151203772054778,3112.588914138422,0.0692951432845286,-77.17311420357129,0.00016357828713909725,0.07586846947311982,0.00017578465925140041,6.34357096952457e-09,0.1833514909882882
0.42142597924908365,0.7363068502235369,0.21342998662028215,9.928330253366147e-05,7.211624019451531,0.26087556745604323,2590.3271998049895,0.006654520238162865,-83.38902018917513,0.00024710757573388775,0.0523867546905515,2.1504065394338334e-05,6.4369140878107764e-09,0.15968926157146424
0.5593960503404394,0.4053318073715577,0.3078245826508268,2.0504460529697787e-05,1.3838528025899748,0.5004855607977511,3665.044427737706,0.15616627214260362,-59.39273289164541,0.0003123766531408727,0.08090281550957301,3.873212949492124e-05,7.127221669259998e-09,0.1967675178777211
0.34735187061161765,0.5198017289244464,0.26533106569003295,0.00027191903990918644,6.375778076185801,0.23961025450880788,3463.6391037175867,0.017746074245268927,-68.54899041749698,0.00028750071061980757,0.010255514140812529,8.387585562681962e-05,8.008341654516406e-09,0.24611082925276861
