beta,b,gamma,c,eta_0,epsilon,kappa,lambda,phi,I0,x0,C0,Error_I,Error_X
0.24131416303483544,0.6651712439483444,0.20217216471001198,1.687781303001401e-06,7.5799551692718925,0.7660746225567852,2410.2200368638137,0.04162174488834283,-47.21728562898548,1.4487888371577594e-05,0.05821159968001582,5.653186067012618e-06,1.7080333031969076e-11,0.18767004750595967
0.32792897095883955,0.14667950713314204,0.19463484910192413,5.8294939436764893e-08,4.293823049245962,0.6051178463705348,3259.71116597468,0.03889660967748172,-97.91457377747192,6.573499214914202e-06,0.05195957332188236,8.463038456341037e-06,3.733378327923486e-10,0.12261698487496211
0.4601187693665637,0.07562392527962214,0.39150153450766034,2.3025771445994713e-06,4.439887360435293,0.5179448146705218,508.80686113264755,0.15674652664683203,-89.69644085048509,2.933098227933552e-06,0.08183934600098691,6.3034698702428774e-06,8.276772375524975e-10,0.21750291014611578
0.587606150975792,0.993526247259194,0.130676015530466,1.7760809591161887e-05,3.731966813982639,0.7186187801288199,4242.28269524514,0.049646789553393966,-73.32070047424861,4.23502150847088e-06,0.05722183102137603,6.107158995512735e-06,4.189745508339085e-09,0.2487515417395195
0.7019496451742143,0.29497247708587104,0.45831215338932185,7.974578615860262e-05,8.989464595125433,0.5485738984147251,3388.221196931541,0.009098156893358467,-57.93604789520161,5.034346061918161e-06,0.07605582935895067,7.292863740502924e-06,4.726738656830163e-09,0.1415843562412982
0.8323277952026334,0.5922083518636834,0.2779466238525039,3.142360882370521e-05,3.8409596546538207,0.7742868604749267,2514.564619340207,0.07058113198676086,-66.42040924730014,2.106580003288003e-05,0.05740159966187802,6.4376779483984395e-06,9.496059902752852e-09,0.23038667162448614
0.726442628536668,0.7157661212582567,0.2732703395652514,2.3392577976670826e-05,8.341014865676605,0.31360931692282346,4878.523953949471,0.03629447208715569,-97.67702507043214,2.1970363468857386e-05,0.008481896122353783,4.045742869271829e-06,9.697286781431375e-09,0.2235979970564889
0.4352113903381779,0.05921250577644677,0.11965126484055069,5.755367374987275e-05,6.559607440517079,0.7004379683181987,2456.3825251610438,0.008311709762189135,-87.94262314547879,4.5354739446765425e-06,0.010826237402440942,7.897270440703209e-06,1.2135189273527774e-08,0.21177205848023756
0.44837957026017816,0.740134166971782,0.23090577108288013,0.00034860094713519364,5.510813479065595,0.14041668374279095,4958.361871040061,0.001160784226999767,-77.18836778310855,7.764253249754528e-06,0.06347125113327247,5.409041660172315e-06,2.2801601358088138e-08,0.18473106820806628
0.3960584124935471,0.12112263402910517,0.21913653428470425,0.00029009041973598437,2.1225808087871716,0.635490434075813,2306.0675254571483,0.0030792459780724316,-125.49464032609103,2.128679574734473e-05,0.08230033390943658,5.733301229430426e-06,2.3581366972814943e-08,0.18236420623003546
