beta,b,gamma,c,eta_0,epsilon,kappa,lambda,phi,I0,x0,C0,Error_I,Weights
0.4754430352718102,0.09299268110563808,0.4361475896964734,0.004661191303371952,6.6966833135377835,0.4470703924555799,2555.5768971997927,0.07648896644263242,-58.420708389972035,1.2636652041930797e-05,0.19415058790293338,7.007458182132753e-06,6.497168154668208e-10,0.001
0.2589755778682581,0.11998889862817574,0.22065069073377216,0.009980490108162028,8.805531752971065,0.272281678125675,2819.6559498870083,0.0733186528455392,-46.10941292246615,1.1984961420585634e-05,0.5058516705381277,4.839767123466327e-06,7.009017416605253e-10,0.001
0.1650664548449016,0.31615371955053184,0.11901520930550911,0.0030241731416941753,6.579441060361711,0.7985485611059516,2826.7028906745127,0.1416846808777135,-51.64614824406385,1.889902273046128e-05,0.6867531293730934,8.797369088282251e-06,7.104720580063575e-10,0.001
0.36807985914297336,0.21626832774444893,0.32371078653574187,0.008711564629796038,2.2348550830308205,0.33149926202735136,754.1698477673855,0.1906986586855095,-78.31589023220278,2.702064062241548e-05,0.2855627553167097,3.0975981364911345e-06,7.433324334142854e-10,0.001
0.1643120751024524,0.15368235670055264,0.13480994152498826,0.0049507006033468175,6.824597422103977,0.6446134250719409,2616.072492527758,0.06785818342667141,-52.39554544369467,2.8974316722248987e-05,0.43004026678103524,8.583976884419022e-06,8.234988008826041e-10,0.001
0.5024968585941847,0.042588410352320416,0.4710675454242137,0.001992907547971521,9.621996862785114,0.6552657338812379,2836.7998292489815,0.18062094969229348,-95.6699359772526,7.684217267654234e-06,0.8687387288007637,1.3574994299500826e-05,8.783444903235743e-10,0.001
0.27394563690872564,0.17542303826051953,0.22817007857541494,0.00829479962810148,9.337942903512749,0.13235782882674027,139.00956566933803,0.116062137051944,-105.43174970450941,1.3488870596903326e-06,0.0022485474998427124,7.336438915835668e-06,9.415474622276276e-10,0.001
0.22044967225629986,0.5144873386806724,0.16473130565675756,0.004453404398094835,1.0794070444264756,0.5644050989857675,594.9542297028577,0.03798059987251772,-67.3443161134983,1.7101868811248216e-05,0.7481514635512245,9.35866185764885e-06,1.0207774433836677e-09,0.001
0.3641804552441833,0.3743051502549184,0.3005238257641325,0.0026244630560514326,1.011140482558769,0.5965880033285207,4647.7984431551595,0.18150727476200718,-89.77692047342957,5.54621660287309e-06,0.7123342714396045,1.2362802791602374e-05,1.0739262682663173e-09,0.001
0.36910413863574376,0.24430998678076177,0.31581509369630095,0.001280210060013386,8.645133922341907,0.4682293251878391,4646.276490648025,0.056260971021006426,-74.62735894820514,1.943239316632302e-05,0.30942205027287817,1.2675279953719815e-05,1.086988662079386e-09,0.001
0.21890037302611554,0.8737743726603104,0.1251644147615684,0.0015427241109608803,5.921601332239412,0.7311787560686682,2059.0350564873797,0.10579255276291222,-68.01743145987479,2.83650911997964e-05,0.7465686566213418,8.634032838411515e-06,1.099188867046523e-09,0.001
0.3961499775487429,0.1071952498926414,0.3544063548117319,0.009014043701264983,7.872005377835482,0.3525353995826226,4576.953438246571,0.09875039161989384,-71.8161586905361,1.779254980278988e-05,0.415802955922549,9.83605881456723e-06,1.125083005065951e-09,0.001
0.17786966124456854,0.39619086255626057,0.13783645568724748,0.0021561536630432597,7.174488061160875,0.5867350891545311,4576.817565751403,0.013862384197342049,-102.32619481145389,1.814346887352603e-05,0.7929395154404585,1.0026605701157336e-05,1.179078469992521e-09,0.001
0.4806733736581973,0.06231254479832171,0.4643869822859117,0.00413766078326186,1.1036120806665963,0.5973043852965212,4386.285153859284,0.18518629711840984,-65.65027563012683,1.263961845314778e-05,0.8953376880143297,3.4743363338266604e-06,1.2735819046394946e-09,0.001
0.405889949881323,0.2819519160680427,0.34891945338974617,0.009018186595228673,2.8634932514418816,0.37583786208579706,2930.5786618148545,0.10448470887632617,-48.07290101159066,6.043905946069088e-06,0.31685184011423795,1.2377378100095888e-06,1.3031409307052005e-09,0.001
0.4125957923792075,0.3890911564679006,0.35697503136742637,0.009246507126417279,7.2023963994929066,0.7061345747986578,3937.215862360038,0.017355080438533777,-114.97036205729995,2.5914460864030355e-05,0.6142114102453128,7.5991665924036535e-06,1.3156598580754307e-09,0.001
0.33007379332298226,0.6469529958575445,0.23674190941987586,0.007694035060120261,7.312185558145746,0.6080701900346897,774.7007201193003,0.023055755912339507,-83.72402664537707,2.076252326022023e-05,0.4688982459312768,4.5822192701579535e-07,1.3283349278224083e-09,0.001
0.24348687671470756,0.4683537959745496,0.19650380985201538,0.0013058556501437135,7.4661724666652365,0.13242733702524834,2956.8486446096895,0.029853207780001934,-47.88913160469514,1.3196029835508183e-05,0.1435898573177411,6.4029890171786975e-06,1.3550563173054114e-09,0.001
0.15815050882208068,0.8496850623449842,0.10028740033034689,0.00685901278463891,8.84280663301844,0.17484364784844825,383.1576471309943,0.06646261481442621,-96.10272822608749,2.6190568382740855e-05,0.9748301820716017,1.3386275932661386e-05,1.5042482202054737e-09,0.001
0.43307631788920353,0.16836868967047103,0.3980134133920955,0.003922490783901191,9.380006435721599,0.22916866527591756,2102.5770810937697,0.18511648992811222,-58.154013163979684,2.2640993185316507e-05,0.3197757552934035,1.0597425909881618e-05,1.5405234837135363e-09,0.001
0.15640952015032097,0.3197955468651851,0.12318231426943403,0.0016293720247611398,5.342547020473083,0.5374112424827285,1991.5161902401098,0.0999699058651315,-98.47048745759285,6.736003578661375e-06,0.909876234387529,4.273337519028573e-06,1.55083503482926e-09,0.001
0.17522779177469064,0.003155122833286561,0.16023631267181862,0.009396551971626085,9.309829316093486,0.19811760911132997,2923.520061110078,0.18162250516259115,-114.22280714407538,1.3352636395314615e-05,0.028828740273613374,5.157553493525616e-06,1.563749260866405e-09,0.001
0.22147110381717905,0.6777557426722293,0.16324538698239216,0.004859282701430768,7.1950520831802445,0.6570714852290505,4553.454226251651,0.06003809970152607,-106.05194764509605,6.744496353226228e-06,0.9689693810164871,1.1840276613632661e-05,1.5763834078710902e-09,0.001
0.24409301988770427,0.04823607514033068,0.22960186629901547,0.008122636317394112,9.164843774844407,0.36397358823481163,4324.469526477161,0.04254077623653274,-88.10149901073004,2.5296162386918663e-05,0.6479939522682012,1.1033678583997991e-05,1.5836743164299085e-09,0.001
0.2702922416542049,0.8869490277406188,0.18607255205051212,0.006046951259328726,9.22808051508078,0.4852945138676594,2141.33344499736,0.05107737363279339,-101.82806005398585,1.250403211995385e-05,0.14236079869990692,6.765257791156613e-06,1.6063837044907624e-09,0.001
0.48127898130776814,0.5090222806687695,0.39871832720848643,0.004791669227918074,6.189091436715131,0.5181602180402501,1378.2189990497045,0.05810624384528467,-57.04827507429323,1.023914364315308e-06,0.9634551297270079,3.114426419598483e-06,1.6091535925475315e-09,0.001
0.6189941680674373,0.5485053769123999,0.49899083247622944,0.005123949335654,8.498892080740362,0.12778347090096603,517.894214281389,0.03563354738464455,-95.56156647232467,1.0582900203307631e-05,0.4955853821687053,1.0197530847679168e-05,1.6268913090360478e-09,0.001
0.265503181739815,0.5507971791873795,0.19992771998397263,0.0025818888532540465,2.301533918957312,0.11507491828793012,1809.293519566315,0.19976541886486232,-74.09204681836033,6.824626393780685e-06,0.5935074748008624,9.63168724161733e-06,1.6275660334042652e-09,0.001
0.15135794247280032,0.2161821891324034,0.1307172401761555,3.702673120369982e-05,9.079785093384931,0.17825260372573015,3009.500281959547,0.03289958743650132,-110.99993951300836,2.716116958443647e-05,0.5384643394119185,2.916456479611271e-06,1.627786385748032e-09,0.001
0.31516998933328744,0.5783357928553897,0.25345441757737197,0.006518662974269129,2.7415804822398675,0.3076758393094259,2353.9145479632352,0.08900115266754396,-61.14677195370612,5.785562760562601e-06,0.10690291451678946,3.98033202229499e-06,1.6311456794294227e-09,0.001
0.1669531166078328,0.419131257310723,0.1499791383364646,0.0031273454326783733,1.886930885740317,0.12401374241431636,2217.123111077598,0.17254365397767624,-52.44303446410754,2.098946655717105e-05,0.4541391879544042,7.549624358053947e-06,1.6407582082329473e-09,0.001
0.35184208206214684,0.9984430347677231,0.20676224831716242,0.002237110641246812,4.480761931691538,0.5542709416010051,3417.04071019237,0.024692064958957906,-79.55271786984092,2.910462307213125e-05,0.5876453324353479,4.4098995888370105e-06,1.6416052777437095e-09,0.001
