beta,b,gamma,eta_0,phi,I0,Ii0,Error,Weights
0.5047527652688427,0.7701873598015944,0.23551088807346898,2.2541578827726365,-82.54570280545795,7.295819947340072e-06,9.953630258042037e-05,2.641439056215458e-10,0.001
0.17265192379423572,0.29821507865087327,0.11090579889375861,2.080789877443844,-88.72745233017719,0.00022204956062179336,9.366240530658154e-05,2.6688220925895705e-10,0.001
0.5087113810977758,0.30796147355988135,0.3226552088213186,8.77209918232723,-84.85393565640368,9.623070439994298e-05,1.5590548682017133e-05,2.8895027897993346e-10,0.001
0.5659986073670291,0.23646943711539703,0.38594384639302537,8.820624305132995,-89.89482683850466,0.00020518204265961007,7.146019190901359e-05,2.956967085463837e-10,0.001
0.18444181670349133,0.9533305673664457,0.10641835501941724,3.8473799687081227,-63.56558868471281,0.00012993457850102346,5.824406926868918e-05,2.974559499434737e-10,0.001
0.6489622486933999,0.40251280902896636,0.4205804817136648,9.100126694858654,-83.2813393810969,0.00015045642088643208,7.88182715992453e-05,3.1272492540123497e-10,0.001
0.27535323301382225,0.599500494467838,0.16116140504087373,1.82990993154568,-74.88064667238996,6.001104683519664e-05,6.41944659169394e-05,3.132727071899407e-10,0.001
0.43500163403437886,0.39146501555327573,0.2722604150086334,4.456591475407173,-92.6672701868892,0.0001834025746108774,5.248520269926861e-05,3.164861273701699e-10,0.001
0.7875319032432386,0.7217608016097006,0.36132746862828213,6.430005488666171,-95.97320266700558,4.156563752929999e-05,4.6970139852175175e-05,3.175323036658353e-10,0.001
0.5170447825006182,0.31627963392120717,0.3820192449471218,6.270998669347291,-62.02453373755722,9.575246501151672e-05,4.000810938777459e-05,3.1932830755244096e-10,0.001
0.38114974085989584,0.3599025030630568,0.2569954332483016,7.134448438144362,-74.42362981093432,0.00021681686923631532,5.597492082868881e-05,3.303716420778593e-10,0.001
0.24201541640400512,0.7552167771102166,0.11647631172375394,2.6971054181998326,-73.7465609302478,4.023518680447522e-05,9.627948777724805e-05,3.3046838000490075e-10,0.001
0.3861429837960021,0.6520038710689627,0.22221592245077504,6.915444425300743,-84.04388288399552,0.00018446642479572837,5.507884858544723e-06,3.307695913241529e-10,0.001
0.46953040078797315,0.47835853177383403,0.3136616826157661,8.997373997298123,-79.57086119211337,0.00021783027748957802,1.3624912164418579e-05,3.3750201832951555e-10,0.001
0.7123018954115431,0.5550110255467199,0.41672326053922826,3.2393866785971617,-82.8468085941947,5.622783068852513e-06,5.98021145782113e-05,3.38617423951616e-10,0.001
0.40414410131783673,0.09443361442914122,0.3048779637130171,3.9972489104586413,-81.15979655448976,0.00015635763690474092,3.822974576372302e-05,3.4388789146335436e-10,0.001
0.22382132456046958,0.6321439786567454,0.17214182727825122,6.288269276815225,-49.06446613614047,0.0001543228416105435,2.901140865059032e-05,3.450434751102803e-10,0.001
0.39341879312755723,0.7070011095886938,0.25768493801851733,7.188697857844771,-63.810595693225,2.6071005873456156e-05,5.832783691510166e-05,3.4532322794026125e-10,0.001
0.5347548752032258,0.1672051910052591,0.3742406470018823,5.730663747700132,-102.11993722828998,0.00010659641890320128,4.164246020203234e-05,3.456606542194586e-10,0.001
0.30920097407435343,0.31654216714408534,0.1950902316880422,1.3697647082856128,-95.84817563516017,3.74034963525734e-05,3.487197464406764e-06,3.4602580572730964e-10,0.001
0.6935767761247996,0.3350438762907989,0.4921261380776569,9.278129103962701,-81.1695042983412,0.00017491199543698488,0.00010367622328520837,3.461952050826123e-10,0.001
0.5036029610672819,0.11146182578930708,0.3665022959716515,8.75417670840951,-85.4971806578225,0.00010645585280143752,9.725113763317388e-05,3.575391382257934e-10,0.001
0.23036356340973418,0.49172639072164603,0.17873639626206317,1.0154092876447243,-54.86696937631116,4.5384268290617205e-05,1.2509266706125889e-05,3.6051164742058025e-10,0.001
0.6328421051584477,0.23828464258519122,0.43476256075472486,5.789171511064581,-81.21899577526992,4.363168713316981e-05,9.046430087567064e-05,3.637832067599259e-10,0.001
0.24403678949036003,0.3795319829187548,0.1509023083362364,1.0352615658119664,-89.59637362789248,0.00015625366636413664,0.00010417627340376668,3.667189311756852e-10,0.001
0.32219617034577286,0.5870458585901799,0.1868770829274476,5.51652860005462,-72.97301858412922,5.0383348754124445e-05,2.438283605628367e-05,3.671957936137325e-10,0.001
0.2782773034132312,0.15230201100789797,0.1889849047880286,5.223105231988541,-75.84293665281139,9.568168438927325e-05,7.160519026954349e-06,3.6788479100612543e-10,0.001
0.6275808019633483,0.39298773869610093,0.40490327935012305,7.104766109164274,-89.71711096464499,0.00010140823335200535,6.214960644415266e-05,3.681953532043783e-10,0.001
0.6287272404950734,0.5822305156302887,0.3721715167066345,7.519248758121099,-90.43726287360369,0.00016208261175163784,3.5304344679414194e-05,3.6954278814595315e-10,0.001
0.3729669756082914,0.9598870426758905,0.13622448705800105,5.541305227764374,-96.69733244793795,0.00021821605106210612,6.773924272219984e-05,3.698730497531576e-10,0.001
0.5183858263817104,0.48806045659655795,0.29567920009645055,8.844585106153616,-93.85012482441957,0.00010571740968307089,4.7463234757110354e-05,3.785815971023268e-10,0.001
0.7414318882335507,0.34030643874973054,0.4903973774971092,6.6008356690695935,-96.13950205195198,0.00019675352570873583,6.644236396196678e-05,3.8082420268216765e-10,0.001
0.485781422033699,0.255311359471607,0.36724977828226113,4.89547953159728,-73.1499762487093,0.0001613331414240806,2.542941558596612e-05,3.8115571811306936e-10,0.001
0.20724394938165755,0.37612664443078103,0.10863777557878534,7.878564892782702,-77.72893826596669,4.788559543597665e-05,4.676639386226907e-05,3.8595769692274225e-10,0.001
0.6016557177583253,0.44719025665322554,0.43208098437602926,5.107564553999589,-73.77086881615722,0.00014627614523982522,0.00010595589498670187,3.8943022382187564e-10,0.001
0.2776960589242523,0.18812018266043762,0.22273361208594442,2.919029798554091,-54.45129757381059,0.00020910489945283827,5.706138704477113e-05,3.9151066684893317e-10,0.001
0.2786099062731856,0.14668663692916117,0.1900314254123146,8.383771631502714,-82.3851320376836,8.677953456342096e-05,3.6806389612841785e-05,3.928648888248147e-10,0.001
0.3033013082334096,0.9360795508920967,0.15701574370919041,3.508950067865584,-76.72385819778023,0.00012613764785852596,2.007487005834583e-05,3.964105088115542e-10,0.001
0.17816432728409373,0.6126555772296708,0.12948851224115843,6.360337612933236,-48.249332695766,0.00015706813624789958,5.935081819157276e-05,3.9697950794390874e-10,0.001
0.5028219056734032,0.35941198743647473,0.3687538067350169,7.248019711700517,-62.28776102061383,0.00015719386686333586,6.15605352981998e-05,4.038139697362938e-10,0.001
0.3934314837683688,0.38045878093869245,0.23207637642650836,5.204096886124052,-79.46153063268352,2.0856436124670803e-05,8.98266668871794e-05,4.046758970389176e-10,0.001
0.5191157162181529,0.14127321277445248,0.4289323612815362,3.561696205399119,-46.21978194963573,0.000115438229719967,1.7015802320936833e-05,4.072793746647086e-10,0.001
0.14077889236587834,0.5397387999654023,0.1043872479240116,1.0920945182469755,-64.92936685322235,0.00011386307562161702,5.467450034015524e-05,4.1616952708397094e-10,0.001
0.20789438019307377,0.09137891555168542,0.14684556499533344,5.3504235483492915,-82.398440095463,9.098624977043911e-05,3.3567326327945866e-05,4.166374962679857e-10,0.001
0.5957438107228145,0.2767595514080251,0.4226529666296571,9.303077635118166,-77.94419151356068,8.541177655810544e-05,4.9831962167851094e-05,4.172156652937085e-10,0.001
0.4611820416177793,0.38665468638612577,0.30658430782317037,4.383558835043729,-77.50054616627153,0.0001490389094757072,0.00010064639302219348,4.1831200850977285e-10,0.001
0.309849866523291,0.5776809972945547,0.21945305465600648,2.9589025452592326,-68.66360090476094,0.00021250757403753722,9.445758943011405e-05,4.1962315531834086e-10,0.001
0.23080691053939414,0.013938656439521857,0.17847454847269628,4.950387868242629,-100.06848142115197,0.00015447190172469374,9.749192159219396e-05,4.215744690981249e-10,0.001
0.2376302020147926,0.3066097921785066,0.16268232940975094,1.1635231352413138,-85.37274127896605,0.00020282230078006632,0.00010547830496118901,4.2309775219904293e-10,0.001
0.5097600119434385,0.7737585899463134,0.22571676401247687,6.680244234701723,-94.88054711696086,0.00019775851639318302,4.615075511241582e-05,4.2640982680716234e-10,0.001
0.5729434272933155,0.6178366939806115,0.29482194274419826,9.127038747335295,-86.89535602355198,1.497398438546584e-05,8.915383457493403e-05,4.268179389061106e-10,0.001
0.6419973163060754,0.17378364140876013,0.4601781376494497,4.8685049561050295,-102.60770142426034,7.76412205340361e-05,7.731118659330232e-05,4.285391645766293e-10,0.001
0.24839776537040248,0.365863519698008,0.13450311941530263,9.818009674471847,-62.60564563875167,2.7482057433693047e-05,7.017432213437757e-05,4.303262403073627e-10,0.001
0.48814254107875765,0.010043904265146675,0.3931354686548755,5.08697463877203,-74.26371343442631,0.00017949882225941582,5.950587458847267e-05,4.3111326337684255e-10,0.001
0.4607357301445977,0.2694331386427453,0.3311998773755026,7.68915506896376,-56.85856061103807,6.804651503457919e-05,5.5991054689645546e-05,4.319773740330758e-10,0.001
0.2595244893283415,0.7086735523536133,0.11694367560077566,8.09818397382337,-81.02693926653504,6.314637665298965e-05,5.5606684482327076e-05,4.330758925136831e-10,0.001
0.7666475406695777,0.4905863130151479,0.48132275532634816,8.67789781085274,-93.79539557478745,0.0001891184001899145,0.00010659161510160303,4.334893223910992e-10,0.001
0.5698462191502247,0.8962590375420031,0.25521851167276344,8.376741393564195,-95.05154683755205,0.00014471935143351992,0.00011052619656841196,4.340031985571965e-10,0.001
0.35013975074884074,0.028274495931860266,0.27719013990500596,4.333824593811735,-129.80561142016626,0.00015478706593022965,1.6981789525477713e-05,4.344471365063185e-10,0.001
0.5754131396521408,0.2229849436956436,0.42744192379303547,9.39981283755921,-74.02700656583619,0.00011501100351622877,3.146619349078394e-05,4.3932220628957425e-10,0.001
0.36980999355873334,0.23611618312507687,0.24471851146980003,9.787106457959839,-107.02616597160014,9.923844377566713e-05,4.132714750774346e-05,4.410395537410783e-10,0.001
0.43307822687206243,0.4003410749723728,0.3345967802823542,8.453624332229982,-53.26879556573685,4.717336734026631e-05,9.912285150116686e-05,4.437971955165551e-10,0.001
0.3002689811228748,0.5478869991546159,0.22651421854322332,2.080174302604228,-65.72034178543386,0.00019080039459708938,7.180679298845021e-05,4.463914430808467e-10,0.001
0.22562672873874048,0.5376052576464014,0.11700446901559967,5.998161441815423,-72.68876398527621,0.00018142759402047792,5.9498043628325465e-05,4.4864635148243357e-10,0.001
0.1252728069005455,0.6735023143656065,0.10098554322288784,2.240474905942586,-48.699043422237494,0.00011740489429765304,0.00010769245237833921,4.5092416370675065e-10,0.001
0.38877824334128686,0.17728483127850947,0.3007969382567719,5.637828133074064,-60.21066671625606,0.00011778564341470103,6.784484047922074e-06,4.5257140255380677e-10,0.001
0.25684188170293487,0.3964780118519319,0.20663128310555848,8.78628546836892,-47.17604138947027,0.0001756317507300918,5.499315133188916e-05,4.5298995924606843e-10,0.001
0.16613064926614396,0.6854923960227763,0.12163149218915233,1.0705718442685705,-75.4665969982737,0.00014725220216358427,9.079189493250437e-05,4.5339505025191877e-10,0.001
0.28847517538918066,0.7777661223443306,0.19941898492162147,7.9035386438057875,-70.5855068062043,0.000157271603870974,8.903402099490892e-05,4.539839021948035e-10,0.001
0.5730914306606709,0.12325740004357622,0.42901312853714024,9.325433757472265,-83.46651114027819,0.00013445184157010102,3.579064545494995e-05,4.540048203949328e-10,0.001
0.2839854682608136,0.14415825934901227,0.20636776140948498,6.65155274574665,-99.3969935304113,0.00018637379684368081,9.938481646412677e-05,4.5818563012813655e-10,0.001
0.40386446601285253,0.46275204701726624,0.25782942272033244,3.7878178375574523,-93.39354228447583,0.0001448029833878715,3.2816565801856084e-05,4.58508288458944e-10,0.001
0.34297962361227874,0.962553937221492,0.14889499650518034,7.887937403874321,-67.93372137605895,1.0012749897672638e-05,2.1797248400093556e-05,4.591740836761436e-10,0.001
0.5013139181989258,0.6618058566681844,0.2377215805395407,8.5550061636086,-89.79928164245321,0.0001324798807663273,4.3007528312877566e-05,4.6107766137730265e-10,0.001
0.7936520565179912,0.617688299705556,0.41765169478391706,7.07889546068646,-101.6873787084416,0.00018584111426800615,3.3293668041150075e-05,4.678182578449195e-10,0.001
0.35539332204992136,0.0785218677041365,0.27839812368765504,3.8244657647151525,-95.9776856085663,0.00015482497860306059,7.739391902000004e-05,4.703673523782968e-10,0.001
0.3463564761257789,0.2767811316498844,0.23716816382234363,2.0265681402995,-131.274502067836,5.652349736830221e-05,5.237066877829827e-06,4.749143372157245e-10,0.001
0.5337359989925431,0.3360088023189801,0.34089573797235184,8.207360842652356,-86.1660851915023,3.590426808700174e-05,0.00010996900989678487,4.768289229276803e-10,0.001
0.45065417940342567,0.16434106336017917,0.3568882652470706,3.345709861845103,-75.21047323261568,0.00011899508403289237,8.129411766287514e-05,4.772978917824719e-10,0.001
0.5554730783311527,0.17058859270575455,0.44834583520924165,7.550809037356746,-49.47302146911191,8.050046318399157e-05,9.161914409616168e-06,4.779521260032077e-10,0.001
0.8870083807886072,0.7873747910554346,0.3963811553156106,8.992350822658985,-103.96431260669829,8.551457845035167e-05,7.006294799309648e-05,4.8070135055902e-10,0.001
0.5401231339708271,0.6818327343647643,0.3199342363855958,7.444215548475668,-85.69649781245542,5.254180007791255e-05,0.00010729685622725645,4.807191753802997e-10,0.001
0.5142457622262898,0.6812834612304385,0.25304469222758375,5.05664312553991,-81.13737282315816,1.9377196480948035e-05,6.688893939774431e-05,4.815241724505799e-10,0.001
0.542374305487583,0.1347020032087891,0.3996084689316196,9.864562212499957,-67.1334236237474,5.390251963218252e-05,3.3826490115391256e-05,4.815327199112731e-10,0.001
0.6322344890433639,0.12047080474489114,0.4849570191128917,9.832359336618568,-68.80069799466743,9.164439786136274e-05,0.00010645642448006598,4.816391595960968e-10,0.001
0.5998833992807366,0.4201808715562724,0.44473512760740763,5.282753862017286,-72.43717599858545,0.00021613408051178885,1.666073075426902e-05,4.821273996863257e-10,0.001
0.3724022378730937,0.4531746884027368,0.20714823075672217,5.932157516696504,-102.0840028352252,6.690501746642384e-05,4.182967362727322e-05,4.821549649726915e-10,0.001
0.11980114570697334,0.4200474481912724,0.10172300101047536,2.2194854517688256,-49.23818405747676,0.00017781628494790362,4.984837066016047e-05,4.827435373616889e-10,0.001
0.5965275584264653,0.5614366313201733,0.38136598663387344,8.466223711439165,-86.80026132465926,8.793637664321356e-05,1.167914619334201e-05,4.8377687219997e-10,0.001
0.5787893908821373,0.0928203742306537,0.4550222301993403,1.7434065324107944,-93.27580217130838,5.7031951896774704e-05,2.0511368934408754e-05,4.866400051481754e-10,0.001
0.4127697753695251,0.03258915972694365,0.32370750213086485,1.6777714218947257,-76.97201710116191,0.00015198263772574886,0.00010120706505747939,4.909521281277922e-10,0.001
