,0
0,0.815714286
1,0.785714286
2,0.744285714
3,0.694285714
4,0.641428571
5,0.588571429
6,0.53
7,0.491428571
8,0.477142857
9,0.461428571
10,0.452857143
11,0.448571429
12,0.442857143
13,0.425714286
14,0.422857143
15,0.444285714
16,0.444285714
17,0.442857143
18,0.442857143
19,0.441428571
20,0.408571429
21,0.404285714
22,0.421428571
23,0.402857143
24,0.402857143
25,0.404285714
26,0.42
27,0.404285714
28,0.41
29,0.458571429
30,0.462857143
31,0.465714286
32,0.47
33,0.472857143
34,0.457142857
35,0.454285714
36,0.481428571
37,0.484285714
38,0.484285714
39,0.484285714
40,0.482857143
41,0.464285714
42,0.462857143
43,0.49
44,0.492857143
45,0.495714286
46,0.5
47,0.501428571
48,0.461428571
49,0.458571429
50,0.485714286
51,0.488571429
52,0.49
53,0.492857143
54,0.515714286
55,0.498571429
56,0.501428571
57,0.534285714
58,0.538571429
59,0.541428571
60,0.544285714
61,0.545714286
62,0.524285714
63,0.521428571
64,0.554285714
65,0.528571429
66,0.528571429
67,0.53
68,0.53
69,0.508571429
70,0.515714286
71,0.588571429
72,0.597142857
73,0.602857143
74,0.608571429
75,0.611428571
76,0.58
77,0.57
78,0.605714286
79,0.608571429
80,0.611428571
81,0.614285714
82,0.615714286
83,0.59
84,0.595714286
85,0.642857143
86,0.645714286
87,0.648571429
88,0.651428571
89,0.65
90,0.612857143
91,0.611428571
92,0.662857143
93,0.661428571
94,0.66
95,0.664285714
96,0.665714286
97,0.624285714
98,0.61
99,0.658571429
100,0.661428571
101,0.662857143
102,0.664285714
103,0.665714286
104,0.632857143
105,0.631428571
106,0.681428571
107,0.681428571
108,0.681428571
109,0.682857143
110,0.682857143
111,0.642857143
112,0.642857143
113,0.697142857
114,0.697142857
115,0.695714286
116,0.697142857
117,0.698571429
118,0.655714286
119,0.65
120,0.704285714
121,0.704285714
122,0.701428571
123,0.7
124,0.695714286
125,0.65
126,0.642857143
127,0.698571429
128,0.694285714
129,0.691428571
130,0.69
131,0.687142857
132,0.64
133,0.632857143
134,0.692857143
135,0.691428571
136,0.69
137,0.69
138,0.69
139,0.641428571
140,0.635714286
141,0.694285714
142,0.695714286
143,0.695714286
144,0.697142857
145,0.697142857
146,0.65
147,0.642857143
148,0.697142857
149,0.697142857
150,0.698571429
151,0.701428571
152,0.701428571
153,0.655714286
154,0.654285714
155,0.712857143
156,0.712857143
157,0.711428571
158,0.714285714
159,0.714285714
160,0.665714286
161,0.658571429
162,0.714285714
163,0.684285714
164,0.684285714
165,0.688571429
166,0.692857143
167,0.652857143
168,0.648571429
169,0.735714286
170,0.737142857
171,0.737142857
172,0.741428571
173,0.741428571
174,0.701428571
175,0.698571429
176,0.75
177,0.758571429
178,0.762857143
179,0.768571429
180,0.771428571
181,0.734285714
182,0.73
183,0.771428571
184,0.77
185,0.77
186,0.771428571
187,0.771428571
188,0.737142857
189,0.734285714
190,0.777142857
191,0.778571429
192,0.78
193,0.781428571
194,0.784285714
195,0.751428571
196,0.744285714
197,0.781428571
198,0.781428571
199,0.781428571
200,0.781428571
201,0.78
202,0.752857143
203,0.754285714
204,0.794285714
205,0.792857143
206,0.788571429
207,0.788571429
208,0.785714286
209,0.751428571
210,0.745714286
