,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,1.0185714285714287
7,1.0185714285714287
8,1.0171428571428571
9,1.0142857142857142
10,0.97
11,0.8728571428571429
12,0.8514285714285714
13,0.85
14,0.8514285714285714
15,0.8514285714285714
16,0.8914285714285713
17,0.9885714285714287
18,1.0114285714285713
19,1.0142857142857142
20,1.0157142857142858
21,1.0171428571428571
22,1.02
23,1.0171428571428571
24,1.0157142857142858
25,1.0142857142857142
26,1.0114285714285713
27,1.002857142857143
28,0.9842857142857143
29,0.9614285714285714
30,0.9257142857142857
31,0.8657142857142857
32,0.7971428571428573
33,0.73
34,0.6642857142857143
35,0.6
36,0.5542857142857143
37,0.54
38,0.52
39,0.5028571428571429
40,0.49428571428571433
41,0.48857142857142855
42,0.47714285714285715
43,0.4714285714285715
44,0.4842857142857143
45,0.4842857142857143
46,0.4828571428571429
47,0.4828571428571429
48,0.4814285714285715
49,0.4685714285714285
50,0.4657142857142857
51,0.47714285714285715
52,0.47714285714285715
53,0.47714285714285715
54,0.47857142857142854
55,0.4714285714285715
56,0.43
57,0.4257142857142857
58,0.43714285714285717
59,0.4257142857142857
60,0.42714285714285716
61,0.4357142857142857
62,0.4657142857142857
63,0.46
64,0.47
65,0.5057142857142857
66,0.5085714285714286
67,0.5128571428571429
68,0.5171428571428571
69,0.52
70,0.5057142857142857
71,0.5
72,0.5214285714285715
73,0.5242857142857144
74,0.5271428571428571
75,0.53
76,0.5328571428571428
77,0.49
78,0.48857142857142855
79,0.5214285714285715
80,0.53
81,0.54
82,0.5485714285714285
83,0.5914285714285714
84,0.5871428571428572
85,0.59
86,0.6185714285714285
87,0.6228571428571429
88,0.6271428571428571
89,0.6314285714285715
90,0.6328571428571429
91,0.6142857142857143
92,0.6228571428571429
93,0.6585714285714286
94,0.6671428571428573
95,0.6757142857142857
96,0.6842857142857143
97,0.6871428571428573
98,0.6642857142857143
99,0.6714285714285714
100,0.71
101,0.7114285714285714
102,0.7157142857142857
103,0.7228571428571428
104,0.7271428571428572
105,0.6985714285714286
106,0.7057142857142857
107,0.7571428571428572
108,0.7628571428571428
109,0.77
110,0.7771428571428572
111,0.7828571428571428
112,0.75
113,0.7471428571428572
114,0.7942857142857143
115,0.7928571428571428
116,0.7914285714285714
117,0.7442857142857143
118,0.69
119,0.6342857142857143
120,0.6285714285714286
121,0.6857142857142857
122,0.69
123,0.74
124,0.7971428571428573
125,0.8171428571428572
126,0.7814285714285714
127,0.7728571428571428
128,0.8257142857142857
129,0.8242857142857143
130,0.8228571428571427
131,0.8114285714285714
132,0.81
133,0.7671428571428572
134,0.7542857142857143
135,0.8085714285714286
136,0.8071428571428573
137,0.82
138,0.8214285714285714
139,0.8214285714285714
140,0.7842857142857143
141,0.7728571428571428
142,0.8242857142857143
143,0.8228571428571427
144,0.8214285714285714
145,0.8214285714285714
146,0.82
147,0.7814285714285714
148,0.7728571428571428
149,0.8228571428571427
150,0.8242857142857143
151,0.8228571428571427
152,0.8242857142857143
153,0.8228571428571427
154,0.7842857142857143
155,0.7742857142857144
156,0.8214285714285714
157,0.82
158,0.8157142857142857
159,0.8157142857142857
160,0.8142857142857143
161,0.7771428571428572
162,0.7685714285714286
163,0.8185714285714286
164,0.8171428571428572
165,0.8142857142857143
166,0.8114285714285714
167,0.8057142857142857
168,0.7642857142857143
169,0.7528571428571428
170,0.8028571428571428
171,0.7971428571428573
172,0.7914285714285714
173,0.7871428571428573
174,0.7814285714285714
175,0.7371428571428572
176,0.7242857142857143
177,0.7771428571428572
178,0.7728571428571428
179,0.7685714285714286
180,0.7642857142857143
181,0.76
182,0.7157142857142857
183,0.6871428571428573
184,0.7442857142857143
185,0.7385714285714287
186,0.7357142857142857
187,0.7314285714285714
188,0.7242857142857143
189,0.6914285714285714
190,0.6771428571428573
191,0.7428571428571428
192,0.7428571428571428
193,0.7442857142857143
194,0.7485714285714287
195,0.7514285714285713
196,0.7071428571428572
197,0.69
198,0.7542857142857143
199,0.7614285714285713
200,0.7714285714285714
201,0.7828571428571428
202,0.7928571428571428
203,0.76
204,0.7442857142857143
205,0.7985714285714286
206,0.8
207,0.8014285714285714
208,0.8057142857142857
209,0.8085714285714286
210,0.7757142857142857
211,0.7657142857142857
212,0.8142857142857143
213,0.8214285714285714
214,0.8271428571428572
215,0.8328571428571427
216,0.8371428571428572
217,0.8071428571428573
218,0.7957142857142857
219,0.8342857142857143
220,0.8342857142857143
221,0.8371428571428572
222,0.8442857142857143
223,0.8485714285714286
224,0.8257142857142857
225,0.82
226,0.8571428571428571
227,0.8628571428571429
228,0.8657142857142857
229,0.87
230,0.8757142857142857
231,0.8528571428571429
232,0.8442857142857143
233,0.8657142857142857
234,0.7914285714285714
235,0.7914285714285714
236,0.7928571428571428
237,0.7942857142857143
238,0.7785714285714286
239,0.7814285714285714
240,0.8828571428571429
241,0.8871428571428571
242,0.8885714285714286
243,0.8928571428571429
244,0.8957142857142857
245,0.88
246,0.8757142857142857
247,0.8957142857142857
248,0.8957142857142857
249,0.8928571428571429
250,0.8942857142857144
251,0.8942857142857144
252,0.88
253,0.8771428571428571
254,0.89
255,0.8928571428571429
256,0.8914285714285713
257,0.8914285714285713
258,0.8914285714285713
259,0.8757142857142857
260,0.8757142857142857
261,0.88
262,0.8771428571428571
263,0.8742857142857143
264,0.8714285714285714
265,0.87
266,0.8542857142857143
267,0.8585714285714287
268,0.8671428571428571
269,0.8642857142857143
270,0.8628571428571429
271,0.8614285714285714
272,0.8614285714285714
