,beta,b,gamma,eta_0,phi,I0,Ii0,Error
0,0.2214135019369603,0.5922794716963846,0.1029686189790813,3.440152244944569,-78.37619054051561,2.0272682341558606e-05,1.162647187462176e-05,6.4891153714890116e-12
1,0.2682983671181157,0.6041354532105218,0.1244315916536043,3.927690407559247,-80.44888906400756,1.550122608780731e-05,9.900315168385366e-06,6.603073320478416e-12
2,0.2639957589557315,0.6093557646790272,0.1224558248120456,4.37204968033508,-82.1797510889756,2.36603937060844e-05,7.81467733312971e-06,6.610169839377823e-12
3,0.2529181984988997,0.7345470976629795,0.100035612058802,5.254874764586728,-80.06297947664386,1.860847246849119e-05,7.374289966617399e-06,6.652956792635433e-12
4,0.3056852925916163,0.4953598820915417,0.1618663364923332,3.5994346612383104,-83.64831639227248,1.983654850268716e-05,1.0457595050904586e-05,6.670159904647611e-12
5,0.2498441239464159,0.707656315049537,0.1034399365817849,5.327102887604351,-80.2561924668712,2.181348048572368e-05,1.1175423670480248e-05,6.690133878943567e-12
6,0.253387324068036,0.5101094216905365,0.131997927538042,2.256403698568989,-81.15799877496221,1.7226585285931405e-05,7.534538040524112e-06,6.690494833090998e-12
7,0.2406997783126856,0.6401887800305166,0.1056860350192336,3.473046303024714,-78.16283778250227,1.2933647907161292e-05,4.983701961548544e-06,6.698626971325406e-12
8,0.266993335383018,0.4653506757000637,0.1447977243970448,1.822810792221282,-84.36281802923166,1.660503371718396e-05,5.244413077253263e-06,6.7226132479138594e-12
9,0.2771538673230665,0.561100634636414,0.1354536772242453,3.996349888119178,-81.43972970500178,2.0193553782470057e-05,1.015363638857474e-05,6.730129000902808e-12
10,0.2634570235275084,0.6400854136107446,0.1163593458592293,5.130697204338278,-79.82443099369527,1.8072527795731595e-05,1.0666145936399135e-05,6.743602202681063e-12
11,0.2645161943202694,0.5314729665042188,0.1323623728540079,2.4995662717140363,-79.44251340705915,1.1851455287823817e-05,3.627367302501716e-06,6.759419094421747e-12
12,0.2511806166194147,0.7132026221409058,0.1020219414378806,6.816630139574874,-78.94489699944764,2.144637890064459e-05,1.0521756110762629e-05,6.760611474418914e-12
13,0.336394648703071,0.4217446220141689,0.19085400137182,4.549789201184884,-83.86567539286321,2.3014279694191117e-05,9.899837653653371e-06,6.7618831059116426e-12
14,0.2611785034882538,0.7308650931060802,0.1035294226844544,6.342897262945342,-80.13064109216984,1.8148440678116143e-05,1.1477061612387096e-05,6.7716244952201194e-12
15,0.2475273991717893,0.4455234026466226,0.1363713095573746,2.3160216056616107,-80.65031455229062,2.081871241725536e-05,8.561268517946801e-06,6.776943728190115e-12
16,0.2451366386972654,0.6065102538814042,0.1138603180584138,2.792035762624538,-81.8274554450287,1.970241253682521e-05,9.430461481494116e-06,6.7807489268483286e-12
17,0.240180545399543,0.6843674280665719,0.1016798371814742,2.7393340601751373,-78.4422165947087,1.081071461660715e-05,5.364982273687667e-06,6.815096175260945e-12
18,0.2644017135008543,0.7503822490097746,0.1028868018369017,7.241250883052393,-80.58359620387982,2.209132091093077e-05,1.1704764378834036e-05,6.8220841023446676e-12
19,0.3380284515076846,0.4545585659554446,0.1856719885166197,3.327029687477673,-82.79302587294875,1.5068484130131889e-05,7.310401871169078e-06,6.838465882683656e-12
20,0.2917464589318503,0.5843432618300349,0.1397339376018538,2.9037454757326224,-81.3692624094905,1.0408281827811225e-05,3.641638182828232e-06,6.853671751077425e-12
21,0.2591964233745134,0.7046064079434187,0.1061814767473808,6.681645613588416,-79.70332564516876,1.932124157424344e-05,7.861132075353927e-06,6.857764887797925e-12
22,0.2626244806835149,0.6055677590696882,0.1211886497091212,5.261093428431698,-79.91443238937401,2.3110651981374868e-05,9.905581261421773e-06,6.865382505380918e-12
23,0.2677685767277142,0.5612483133153563,0.1306189623329359,3.3332494727823585,-79.23437425577023,1.3938413858340794e-05,1.0299199298577103e-05,6.866150881089548e-12
24,0.2607510569882353,0.736308832348273,0.1044695939114502,4.898146341523942,-80.81976064053748,1.836552564730568e-05,9.665237980340032e-06,6.8676809875872205e-12
25,0.280703727423312,0.5799562833281376,0.1334217500736698,5.972931141526249,-79.58602803694468,1.9754281782104327e-05,7.955466123700894e-06,6.869480002830848e-12
26,0.2584581006193036,0.6877407928528453,0.1075805194018436,8.325955820943841,-78.66817433167353,2.2792001764112847e-05,1.081322882862771e-05,6.869637346657548e-12
27,0.2184531562070451,0.5387007163968841,0.1085108870679887,2.002528184099802,-77.61516979888668,1.4431546684687927e-05,1.0576457675185151e-05,6.8712188955533166e-12
28,0.3047993983567014,0.5126389309885174,0.1576065953335654,5.540715933657116,-81.11012956079647,2.215768050659846e-05,1.0727959965572536e-05,6.8889481147946545e-12
29,0.2995133787366008,0.6140408074661244,0.1394840500716252,6.18482978883493,-82.16750601421289,2.218802701425628e-05,1.0997580663647497e-05,6.891112621211161e-12
30,0.277674727662308,0.6756820311422325,0.11789493426741,7.241496291404346,-80.15426661756624,1.9076048593861355e-05,1.8986151494786218e-07,6.897399714212043e-12
31,0.2612199706413773,0.598197575938191,0.120193905571766,7.029150393427972,-78.76875673835777,2.362552018440652e-05,1.0404268142806411e-05,6.906787103878631e-12
32,0.2338280828628591,0.6430787795879418,0.1008122120989624,5.945584374507606,-77.52997135849061,2.155886806940559e-05,1.0903716285747944e-05,6.909399937118846e-12
33,0.2734707122126412,0.640848588161926,0.120809285557294,7.737553694185303,-80.34624520028103,2.297239454772643e-05,1.181465350275268e-05,6.909661588974183e-12
34,0.2564928804442334,0.7090490099051634,0.1031492963842932,8.046355201692416,-78.3701968162322,2.0841929434259332e-05,7.024252450897394e-06,6.911620807980988e-12
35,0.3343058777379589,0.5234114439355282,0.1706607998180636,7.405350597132283,-82.37331512046067,2.375965614545442e-05,1.175767587771893e-05,6.911752926101883e-12
36,0.4515808900255329,0.3081986644660855,0.2832145571401734,4.398637104565135,-83.67065208460205,1.4723201293659204e-05,9.217053520041895e-06,6.9240265151243665e-12
