,beta,b,gamma,c,eta_0,epsilon,kappa,lambda,phi,I0,x0,C0,Error_I,Error_X
15000,0.2485750424007385,0.2281617849374767,0.2012963922788757,0.0070307155996331,9.417384073569083,0.3655718532718051,3511.502206187854,0.0135062042317192,-50.05227740801175,0.000101461107918,0.0979599006651927,9.507817594803872e-05,1.7185178781852234e-10,0.0830772266683113
15001,0.2702273522640274,0.2574015760900995,0.2158701595488748,0.0046895093789295,8.446401963976669,0.6617816194726659,4855.127257502696,0.0142754830734386,-55.74817803761326,8.031179754463392e-05,0.1422532135826781,8.58992533363071e-05,1.9194078062105534e-10,0.0830772266659307
15002,0.1816812186584506,0.3137638895110667,0.1377392433931759,0.0054710454181508,6.489474075654051,0.2397747649119703,4866.107566381188,0.0682319795189573,-48.5546879670501,0.0001124246390019,0.0184509427543744,7.891420105582054e-05,1.9414065602998768e-10,0.0830772266488061
15003,0.1998618488708323,0.2978774060804326,0.1523443076271347,0.0096026808215291,8.625285270282983,0.1444897009187387,3887.90881663992,0.0617607623179622,-53.40063810048037,0.0001527253338951,0.0095740634388617,6.897635036751321e-05,1.947218904295924e-10,0.0830772266708688
15004,0.3075049714403658,0.1665402332616184,0.2602379741414847,0.0056397867089138,9.119310420556552,0.1082915489404425,4087.102503354984,0.0469231087452034,-54.98346534574221,0.0001134080558773,0.0574065343635814,0.0001035391930372,1.9887807757663403e-10,0.0830772266807052
15005,0.2988041077818004,0.1835349532182967,0.2523263679315454,0.0068315637051225,8.529865572183684,0.1682795544619117,4184.449831016052,0.047139495696355,-52.94231747736247,9.45591455457372e-05,0.0532266393724227,0.0001050523261865,2.0482977610640118e-10,0.0830772266801122
15006,0.3202525896444665,0.1946326042760103,0.2664284574828396,0.0099573276707153,9.903144869987738,0.67491207366855,4981.107450676069,0.0257303143450692,-56.83663464994679,9.87185139394739e-05,0.0806647939187599,8.009335100489844e-05,2.1912344579966146e-10,0.0830772266913237
15007,0.2438431043458109,0.2915145477601875,0.1872162873138016,0.0057107977077598,9.099737581303328,0.5251504878210331,3934.3003649342418,0.0379550456165942,-58.86832488369951,0.0001220518380104,0.0927287788042828,8.241696510896812e-05,2.3269527068774503e-10,0.0830772266789226
15008,0.2548324453551894,0.192825057215261,0.2135527381856075,0.0079244738891139,7.931024961728042,0.1504490129800231,4158.852796911048,0.0581405216583281,-52.47221285491554,0.0001551438335799,0.0863700374514761,9.810628429869636e-05,2.340934622904044e-10,0.0830772266929067
15009,0.3303238121718707,0.1600359695048814,0.2844056755834548,0.0069103420429102,7.123707777396026,0.2862632405496974,4884.882569643632,0.02466691741347,-47.09139831895546,5.886601476451531e-05,0.0226141828266362,6.478410914357877e-05,2.370095542585976e-10,0.0830772266945071
15010,0.1535972042623978,0.4743853171949967,0.1011597059926845,0.0080641128973722,8.74541323205541,0.4773802348600595,3586.185915034047,0.066070317512604,-53.36221948656707,0.0001604601574545,0.0418021915495521,8.847783521164258e-05,2.544727426286641e-10,0.0830772266560867
15011,0.271825298125733,0.2070869912269907,0.2252844247374664,0.0040470301973474,6.738638197734803,0.7639587782129333,4076.784078442186,0.0484388190033731,-55.32799846758563,0.0001191081275826,0.0774949023184205,9.550061210114552e-05,2.558906558314557e-10,0.0830772267204125
15012,0.2877256369327861,0.1789995098575476,0.2430771627194309,0.0043178062914303,8.420598016974234,0.6666406542561019,4136.858540284251,0.0203659394492231,-58.3718181972456,0.0001602615142478,0.0407504527634898,7.602433350327811e-05,2.6192492751644806e-10,0.0830772267072978
