,beta,b,gamma,eta_0,phi,I0,Ii0,Error
0,0.5056050030878835,0.0044856415484243,0.3809580599007997,9.499761978166791,-61.282638413356,2.2545793872231003e-05,0.0001088589494065,1.063654656770344e-10
1,0.4450600527321964,0.0021530640388149,0.3329890960868603,8.966137090316598,-66.80608357927507,2.3423828553540728e-05,0.0001573832521146,1.0814542751448258e-10
2,0.6284483690209623,0.0107080969668274,0.4744179226382006,9.53412015468986,-59.39831911577296,1.2297142457564148e-05,0.0001625829987971,1.0854335372847935e-10
3,0.4044270497734638,5.740730718896414e-05,0.3036650003405743,7.351534182348373,-64.32945917915053,3.080044386905884e-05,0.0001613628033605,1.0859064256502748e-10
4,0.3758924119535444,0.00316300555841,0.2785084110483815,8.356764887701658,-45.04602858588167,2.5335842688267006e-05,0.0001747345256289,1.0867871734265392e-10
5,0.426725565408552,0.0004221957681424,0.3180083316827571,9.919129661545632,-47.830665722757374,2.5016404289294197e-05,0.0001746140484364,1.0868747428976503e-10
6,0.4197279951879026,0.0043015887845475,0.3133637146390645,7.441260919488736,-52.70911625476607,2.037004556249101e-05,0.0001668223748226,1.0961501807610735e-10
7,0.4528918174472038,0.002256744285341,0.3410370594811741,9.384332912176406,-56.23589934938919,3.4565169329660325e-05,0.0002378215310695,1.100945376047044e-10
8,0.4043099353357319,0.0076639102533665,0.2997364513021066,9.805316167822708,-66.45994081942935,2.5594543739414817e-05,0.0002206425392608,1.1009962611863288e-10
9,0.6049488085905936,0.0035173660147259,0.4610024586912153,6.649060318015158,-61.8117183572089,1.484189704990314e-05,0.0001268838432523,1.1078689626177674e-10
10,0.4684141180872391,0.0048710234195643,0.3521580800834368,6.410495783086764,-50.47113775391927,1.5300994792745737e-05,0.0002309257938288,1.1078868351923634e-10
11,0.3626563116194546,0.0052000635391576,0.2669824429872043,8.801767660869581,-74.52509165290874,2.5021352687713757e-05,0.0001720724392363,1.1116691248228395e-10
12,0.3811227638466682,0.0091313298190871,0.2807531575186319,9.328803783291256,-50.79096340271575,2.5694361636882903e-05,0.0001532418705031,1.11373571025905e-10
13,0.5654296770679766,0.0133451541626697,0.4254740700209991,8.489336073604175,-48.73468179100644,1.29595475714979e-05,0.0001658654628207,1.1151129367372607e-10
14,0.4846554950475418,0.0043814536134335,0.3662977068504022,7.46663621692299,-65.28034049797209,2.2809671020160848e-05,0.0002277793855317,1.1156193902837727e-10
15,0.4094297765877533,0.0087163588594548,0.3045573984995547,9.202758408788382,-63.28624702493441,2.800306553222876e-05,0.0001633136361429,1.1157969367245163e-10
16,0.474733877557767,0.0006473403167894,0.3598478901654109,5.73287151359548,-46.94902975160299,1.807370727512358e-05,0.000154236848703,1.117353911471098e-10
17,0.2792570723280081,0.0038045345763054,0.2035744269912615,8.001988925598962,-60.72640291474239,4.635683747891796e-05,0.0001982088395859,1.1208028400308835e-10
