,beta,b,gamma,c,eta_0,epsilon,kappa,lambda,phi,I0,x0,C0,Error_I,Error_X
12000,0.316466058558313,0.2311800883542174,0.2548621408333518,3.830650263041011e-05,7.25220662764516,0.1460382953708047,1966.498783652877,0.0052104562289596,-53.43282287783336,1.3427285917337036e-05,0.0021539541349478,5.106553637842804e-06,1.9554658113744976e-10,0.2323109901409539
12001,0.3284343469100677,0.2659653027112693,0.2644010125427965,7.246904999667711e-06,7.21213220063485,0.140770922075563,1064.4104785171498,0.0285883493498169,-57.26652254156064,2.018293270647188e-05,0.0537714720033748,2.91032005061981e-07,2.0176711313908843e-10,0.2967677062079762
12002,0.3191056407160639,0.3265835760768596,0.2030693012642443,5.260505311465238e-06,6.449396296401361,0.3500407993262804,311.99995171912195,0.0023731032988146,-83.88290562209298,1.891461230190532e-05,0.0437848412357123,2.8151421650855155e-06,2.1951353515432815e-10,0.0581955576992036
12003,0.3269925397518282,0.2070846927780597,0.199047473137998,7.238751501406989e-06,4.222585022304803,0.2976845443839798,3516.857270441757,0.0044156880160254,-65.65259477524917,9.809240092942618e-06,0.027466273562852,1.474004441733603e-06,3.2547843445791753e-10,0.1203788716752811
12004,0.3058219628493691,0.2077497467621793,0.2577709541971389,4.000720811792809e-05,6.5369204792792175,0.1123145418231325,851.3506068179661,0.0069572706547751,-51.79186012666568,2.449655185991704e-05,0.0661745742539983,3.029144848478603e-06,3.4732544504579857e-10,0.325899680497716
12005,0.2515889370746914,0.3065334909451372,0.1839692332457032,0.0001581473335727,6.189831471464059,0.219227823234175,1542.96114654785,0.0037929522943424,-47.322037311336736,1.1831486882836993e-05,0.0367660717778739,6.534553627692759e-06,3.5810074287655023e-10,0.2708658859801811
12006,0.1938649543810763,0.2937545250532933,0.1217218315376701,0.0001011067149062,8.175144725386481,0.1978607177270955,1769.9187842975748,0.0071923372515255,-56.49234140575657,2.214360459747137e-05,0.0381349534355715,3.983927999975066e-06,3.898863540742447e-10,0.1468531366993303
12007,0.3512436394461588,0.0890296856582153,0.2706175699652102,5.752622089967249e-06,6.1064742391946085,0.1593639553936293,2392.672221331376,0.0097726856249597,-65.85302520627314,8.747034416109309e-06,0.0307857625358912,4.678132217125056e-06,4.137058329341433e-10,0.0833678174190007
12008,0.233826878856551,0.4413500510869,0.153241089786714,0.0001177542092203,8.125837655565228,0.2833358104348533,458.9623378871385,0.0049295735019696,-53.12841746830745,1.2537326577539453e-05,0.0521621978540367,3.6646125716687783e-06,4.2768976491268797e-10,0.207721649713796
12009,0.2623105215676142,0.1292175005600523,0.1961468552689438,1.668909711776049e-05,5.742486526527483,0.1665239945425662,2924.228395665136,0.0046451803604852,-52.29702196881437,6.958560891651907e-06,0.0287128704179497,1.8942848842352065e-06,4.607218436188208e-10,0.1090754247698441
12010,0.2926873485640012,0.1982332449487362,0.2119428377671411,1.5073084018171702e-06,8.61042090870651,0.2369331697397579,3489.939530495456,0.0369598208527282,-62.68559018504792,2.5733648092956935e-05,0.0142052984354871,2.337298961567903e-06,4.716914401577855e-10,0.0262300799061154
12011,0.3720914568136184,0.1322335572037286,0.3051796736571076,4.4193386386975314e-05,7.49463166519634,0.1354640270606989,2251.7419134378324,0.0022908907167896,-62.12479134202376,1.0117440048206409e-05,0.050484069579186,7.107521185642146e-06,4.720715336588189e-10,0.1407502153577486
12012,0.2603636047559314,0.1869308553066535,0.1812863582309786,7.940449406100748e-06,7.529496563654657,0.2024141182675627,2924.174623198111,0.0117394160109189,-53.94141580581356,1.6368886102338138e-05,0.0310713100597928,3.8861174010158495e-06,5.127665082969599e-10,0.0684983392603353
12013,0.3369181368625791,0.1947266559376323,0.2783506437696834,3.952553855045602e-05,4.887235034031251,0.2056776689116156,1988.4901401665911,0.0030866170352505,-59.63886906272715,9.2803282952145e-06,0.021698075086637,9.774172270386151e-06,5.156924619522629e-10,0.3089837612741086
12014,0.3023532812778113,0.1471224249229804,0.2460042261163051,3.120558920124598e-05,2.540056739860033,0.1081639192757877,3715.842571180835,0.0015408377650238,-59.931220996532666,2.5866441126126915e-05,0.0258218456178774,1.813396152139121e-06,5.40274535310044e-10,0.0869848388113834
12015,0.2086888503563757,0.1218042978159183,0.1508917012168121,6.285406061578972e-06,6.312597099244065,0.1823531744225158,2399.056944588415,0.0035159207359211,-59.44042733870121,1.4333191509947787e-05,0.0112858469939556,4.948566118640301e-07,5.670585050810497e-10,0.1024688792281042
12016,0.2619922624367041,0.1689612932833662,0.2092050763490525,6.58888432632948e-05,5.803366013173022,0.1180346423771064,1893.960326609087,0.0027738100534386,-57.791013755887946,1.5402641642373964e-05,0.0214726235796041,2.4461131454019424e-06,5.835002178423594e-10,0.2341069835087508
12017,0.322185849991823,0.3211973366585813,0.2457553751954381,6.389656800126866e-05,6.440689447727918,0.1141396128832044,1687.080927797092,0.0069657393820661,-60.38185373571887,2.0314452521138232e-05,0.0127087311013377,1.8803944425609024e-06,6.061675750344638e-10,0.2003288977561271
12018,0.3134523551564201,0.0913434731342523,0.2470062391182779,2.8359361722573624e-05,6.071556769111672,0.168118765236013,3394.8501394437644,0.0053949493387641,-55.92666633782421,1.3979139672229475e-05,0.0165861067683393,9.644412981010232e-07,6.096824669364511e-10,0.1049184312575928
12019,0.261095219900987,0.3362958167579223,0.2017130232693409,1.900284005322645e-05,7.379259460587713,0.1022856776712106,2229.0632254712145,0.0088781353101846,-60.18697009602781,1.908960106232121e-05,0.0289941717085767,8.872096463515659e-07,6.372671707271971e-10,0.2375672317748252
12020,0.1611871491448273,0.141815243276576,0.1061370236168391,4.023474770138767e-05,5.34787079330601,0.2435878218856798,3047.7647139906508,0.003085680284427,-67.08299872223803,1.1340540012559656e-05,0.0108858310149441,7.129906676127835e-08,6.75772862847012e-10,0.1896636848779804
12021,0.2713882190766039,0.2545270753643308,0.1760632728596602,2.554714272677165e-05,7.775058194049002,0.2425575275429943,3187.855763759549,0.0032032303656262,-57.98596748549444,6.3113953645582895e-06,0.0228533266728855,2.361145829915636e-06,6.868543618255511e-10,0.075212177335421
12022,0.2295619659593641,0.1537114713803432,0.1673379792437417,1.4003786240651874e-06,7.250184450479954,0.2286731188539588,1282.2329370730265,0.0149182578001893,-57.39410136194952,1.4040626864869249e-05,0.0383891797790625,6.521742199436925e-06,6.926905734556878e-10,0.0961378303125108
12023,0.2841736485722153,0.3004178411746004,0.1740564715856403,2.5936349851403825e-05,8.220982859746883,0.2870627319896889,1364.485272437582,0.0114429728809423,-71.68664821030528,2.0233151899257723e-05,0.0696631797013871,2.567868937990484e-06,7.299067493914015e-10,0.0591580780531495
12024,0.2483217476850494,0.3421057921336982,0.1924871864114789,2.3843782366597128e-05,7.081152990955929,0.1199019387442818,472.1256968135752,0.0097173212359492,-53.321111131815066,1.5838395402694778e-05,0.0656280355845234,2.9778061268162963e-06,7.362001826377303e-10,0.309647135002188
12025,0.2483827632662214,0.1509752222664006,0.1916151465548202,9.850232317756462e-05,6.209972693695109,0.2331146545592381,2122.362942308521,0.0046459110795226,-45.00057224127403,1.3799863821630463e-05,0.033476950689479,1.5376480390832494e-06,7.387476858816837e-10,0.2376716480627601
12026,0.2690990141313623,0.1284694957237947,0.2062195695699645,2.687140380035758e-05,6.887494107834926,0.1670926577736625,1599.5616406497224,0.0143398706933412,-48.98323808499326,2.484974856923232e-05,0.0554406658033996,2.9601636304939693e-06,7.598232191694842e-10,0.092232645611429
12027,0.2208538063781983,0.2014139413464403,0.1597590845468182,0.0001117463009614,4.308650088108614,0.1873839358345447,715.2984312882529,0.0034647651470436,-51.00255303499995,2.263313113152221e-05,0.0640870225962546,2.034475462414831e-07,7.61311717929237e-10,0.1252648503933567
12028,0.2716133086491062,0.3405706222829525,0.20851618560827,1.7147864502713696e-05,8.625836611754591,0.1319438651350251,1574.234489782599,0.0076471002117808,-61.2732678321066,2.111748749590335e-05,0.0478222747160234,6.008241792638699e-06,7.807344912183348e-10,0.1837467376166865
12029,0.2734610609496011,0.456403396382434,0.1971891007705519,1.857932561081175e-05,7.933177684235616,0.2002642781589935,215.61950508259525,0.0198734535604432,-51.7075329662124,1.1589089026417725e-05,0.0475750945614584,5.078301013109726e-06,8.103055850699814e-10,0.3080702642034803
12030,0.3793058733717178,0.2398175924095114,0.2791063115259266,3.492380135203982e-06,9.20778651583536,0.2237934125470557,1119.871440777575,0.0159743555818806,-62.33551002887278,6.473221302390265e-06,0.0422313858026058,8.91457435904773e-06,8.164162751532873e-10,0.0423725826800401
12031,0.2062373433804166,0.2804524363672248,0.1282519769119172,0.0001230786310546,6.506955948987439,0.2299016440997208,566.3802692713012,0.0030798420234454,-52.5749119667049,1.5328225555910253e-05,0.0536837002105114,3.1320672243692904e-06,8.402935208662171e-10,0.1200969182174011
12032,0.4201789549095763,0.1540903765470295,0.3622051506587889,1.000624878808231e-05,9.633171417036506,0.1726654668676061,711.5063741197157,0.0035214428587227,-55.63811211972965,1.6218041708956174e-05,0.0284381768893812,3.732099217156648e-06,8.40579937267817e-10,0.2061201346265824
12033,0.205673885015587,0.3161998244601354,0.1493763293120871,4.132866386269339e-05,7.139978943618472,0.138761233961635,1377.7486724498558,0.0042877827855269,-46.58657360655791,1.5891497315532787e-05,0.0148553998091901,3.32242916225527e-06,8.45475800786003e-10,0.1177986223500341
12034,0.2278725668311999,0.3072309513619499,0.1696888747206745,6.626922474206186e-05,6.815889525315609,0.2370912126991105,1307.2177367710217,0.0032551885363494,-47.46913484035123,1.780736795043612e-05,0.0379001327039046,1.0378519091704876e-06,8.47085710189214e-10,0.169992917718033
12035,0.2550034118396029,0.2109831055361018,0.1766850771145943,2.390042232422584e-05,9.313156763198636,0.2432995822731375,481.4086408372353,0.0036846418964699,-50.43890285437975,1.182152929205026e-05,0.0296337000625752,5.054588699480143e-06,8.567779359116967e-10,0.1138355331127199
12036,0.2511216951623056,0.3429702195053389,0.1981306320657372,3.555640917157152e-06,5.236766525687268,0.2228852747217579,1081.3495497495965,0.0344314403648112,-45.9591342974832,1.9529861431987336e-05,0.0365708913864529,3.357083315264432e-06,8.570583200301515e-10,0.2419632276175397
12037,0.3606091377998976,0.1810657665663669,0.2630154269033943,2.592482206220249e-05,6.695120772732783,0.2163077153581207,626.2639193329275,0.0003349097229883,-58.52804742562127,4.033684569284887e-06,0.0495970365911648,7.495101072281306e-06,8.695386509934201e-10,0.0980869992594949
12038,0.2225456379367155,0.0723126352652199,0.1590645490241501,7.452294259486699e-06,4.944303327876952,0.3015011387315445,1337.935536077581,0.0085909050339501,-76.2707207473823,1.4014947391508427e-05,0.0260290265808107,1.97037840339026e-06,8.70567137215087e-10,0.1156829352743577
12039,0.277741335678501,0.2722093757758609,0.1758842828574989,2.906718243660434e-05,5.449406715021702,0.2940295517377883,3024.964280835012,0.015839290073949,-65.47293346917883,1.643486467821538e-05,0.0319669770411915,2.527798165392392e-06,9.4184130664609e-10,0.0607026805795123
12040,0.3403103246769906,0.3005637880025386,0.25690217838115,2.8223498731658772e-05,8.186022512243781,0.1598111656192653,1384.1354288791103,0.0183667347212991,-50.50011094143379,8.024022712671496e-06,0.0675624053004584,1.131736057071553e-06,9.442658214198726e-10,0.1258288592027194
12041,0.2934556736137597,0.1508873354496103,0.2478875201701769,2.426365340288927e-05,5.019467656810778,0.2962543015768967,505.6097368049975,0.001641532214715,-50.0215310164572,1.7929282797090047e-05,0.0283067809375304,7.938605463174462e-06,9.446577147045083e-10,0.1944533693988904
12042,0.2276513807092477,0.2475949097194024,0.1497699934776189,4.5999928520580456e-05,8.217959187890912,0.2688732958427436,1163.7047183644318,0.0119959865095218,-48.80554742002201,2.1335068158014577e-05,0.0564497210166149,9.785152392084146e-06,9.617700470641634e-10,0.0824018668641074
12043,0.2768268801953452,0.3141193151596577,0.2207272568235796,3.3203478648283874e-06,6.183931114804775,0.151472051281859,621.2602064372177,0.0137116461564857,-47.18351337961512,1.304436388125366e-05,0.038829147718846,4.240670849258738e-06,9.639308258930315e-10,0.1147851367865974
12044,0.3329830880188143,0.3653424499882949,0.229208191031156,4.1775850224270266e-05,5.822482686027454,0.3017000413484541,1019.64472000652,0.0076621906866688,-66.66986652047764,1.3064736992180934e-05,0.0269400198901546,7.387826585835528e-07,1.0038960034914363e-09,0.0947960663961567
12045,0.3923379372661099,0.2598792191994495,0.2795257288718793,7.425838845159734e-06,5.356345989494432,0.1588118515788594,2383.9458984379817,0.0149051558939233,-65.48340180126587,1.4240916048208994e-05,0.0393553728034986,2.319415287800685e-06,1.0078450038364995e-09,0.0981241800302224
12046,0.2795760266862475,0.1655943195646411,0.2214835865145372,1.178788412034814e-05,7.794056748245352,0.1397706199787732,2130.793895869381,0.0059395133601265,-51.62147973191615,1.2529076529624316e-05,0.0401513440567342,6.078418381852737e-06,1.012327294220182e-09,0.1016449126869356
12047,0.1825489523004773,0.4481384789131073,0.1161802323667454,7.811294288008037e-05,6.172979327535806,0.2781527656663387,1144.1260319150288,0.0133861885364093,-48.65526562969467,1.6413001327688268e-05,0.0431874326091254,2.9704645995841463e-06,1.0134033041477192e-09,0.2406101038181834
12048,0.3712159278014651,0.1253311669364029,0.3072038233629428,6.133312622493909e-06,7.96788022379897,0.1626701519267158,951.9320800883372,0.00199356539539,-60.24634619123768,1.3911561488413222e-05,0.0318888623662869,8.838376495512974e-06,1.0154731950134891e-09,0.0960874972961961
12049,0.3012647211641214,0.1818224136794651,0.2508801788786334,9.284392000022076e-05,2.963463065745187,0.1632479823637798,3021.859001981458,0.0037948215188362,-53.312390939014186,1.5659110618109728e-05,0.0116984793703025,5.061594251068385e-06,1.022951433969722e-09,0.3077049851811299
12050,0.3486342879766382,0.1950724869393364,0.2731113920528067,2.5311247500824325e-05,5.999742717633285,0.1607001153672867,1428.9970293396275,0.0060242951167262,-62.02796963913515,1.9842509498498767e-05,0.0491446096003533,2.013187527474655e-06,1.0304966549575648e-09,0.052046778442869
12051,0.2958386174170991,0.4723683014984992,0.1807859319153501,1.1202534915068124e-05,6.673694308845647,0.1999117598166974,1257.0035250180715,0.0124515189419833,-68.29509321253266,1.6933617862677527e-05,0.035816857188906,1.753600414104804e-06,1.0403763852816167e-09,0.0770129572558585
12052,0.2615345601303003,0.5033314929203165,0.1278062580582152,6.3435752009412e-05,6.380405781779683,0.3272729749888231,1911.125934118256,0.0016324099518287,-67.27303435919482,1.8454223041657084e-05,0.0235486240142017,4.020437660181016e-06,1.0626982062179366e-09,0.1119830544861703
12053,0.2657121367864779,0.3628121834901508,0.2004025512268184,9.265459673317772e-05,8.050020718051677,0.1163965865639412,1969.468538685776,0.0008590163737153,-45.91656521463248,1.3412572967413328e-05,0.0004727205493198,3.990893314874737e-06,1.0638421384970864e-09,0.1295155907291814
12054,0.1727269420120922,0.2817244984908338,0.1051794011288609,3.937275539388025e-05,8.522228125036733,0.1731275393111284,1571.8303771131166,0.0040529355559718,-50.01460706244043,1.4710553365269676e-05,0.0447933149000625,5.320158128416595e-06,1.0914293557980564e-09,0.109425326836999
12055,0.2481220737765022,0.1394340189158474,0.1750283645505231,1.3158952216545314e-05,5.095509989171676,0.3042876036620356,470.2861063091528,0.009095077007792,-83.68578522805566,1.708369955282591e-05,0.0457633152776645,1.908321572315533e-06,1.0987632987007764e-09,0.12900562379622
12056,0.3158884260575644,0.0721427917200205,0.2509857800576072,2.8082110221395877e-05,8.067932831710626,0.3093762443355685,1587.719586076221,0.0091237589884335,-62.73604143796864,1.4012553499771956e-05,0.0150075177593705,6.47046016240562e-06,1.1001365605857846e-09,0.1434663236749798
12057,0.2655965269015656,0.2598232250886144,0.2061939654642145,3.750646569524252e-05,3.760778484893628,0.1753162343594306,3007.0618147948526,0.0102082971342878,-45.98223982612296,1.4686113729413383e-05,0.0363340129736723,2.863353215918496e-06,1.1090333264683524e-09,0.0866535868829107
12058,0.2789438955258209,0.0804096887070763,0.207978906194363,7.0570863206604825e-06,5.820549682890068,0.3032101802292487,2565.5294614923628,0.0138920638347675,-47.12187071623595,1.4574590440621528e-05,0.027777081471417,4.828174306052732e-06,1.109134588837365e-09,0.0726975321953917
