,beta,b,gamma,eta_0,phi,I0,Ii0,Error
0,0.6792575064778013,0.0993735659089384,0.4974762129188252,4.900647754741183,-89.3223473505354,0.0001435927683094,9.643940012455028e-05,2.0234826609649088e-10
1,0.6562483833419612,0.1031695689289202,0.4775655405702109,5.9802518237223765,-89.98111903763815,0.0001877133694938,9.018711062414124e-05,2.0234907671642688e-10
2,0.646373789267931,0.1082897694873407,0.4696506318046632,5.410165126334576,-89.61244737609368,0.0001697019342318,7.95483179646104e-05,2.0236505224909144e-10
3,0.6668746803145296,0.1059567817764582,0.4840451438100091,5.936781254127324,-91.30217734012886,0.0001799399645862,9.174684947738008e-05,2.0243311662081147e-10
4,0.6738356925049833,0.108461604490828,0.4862354115274653,6.849667565718175,-89.2317051765062,0.0001696645013857,9.79910482648187e-05,2.0258243445625947e-10
5,0.5912036419137838,0.1149220907847923,0.4257818472347751,5.993517293922236,-88.16086300677482,0.0001810972747351,8.453561918473345e-05,2.0284697691896844e-10
6,0.6621363934749651,0.0924454678428046,0.4850385160603013,6.286632182743402,-91.26303470716384,0.0001958834510699,8.923040386969556e-05,2.0286273437150837e-10
7,0.6634533575390094,0.0921534681428906,0.4856424814282625,6.18305796814741,-91.22205391194564,0.0001947097612113,9.012059186606844e-05,2.02987934480386e-10
8,0.5947498052237525,0.1058206354850662,0.433025706013984,5.052903690559901,-88.55177216323601,0.0001740939173112,8.038132033748115e-05,2.0321672313836503e-10
9,0.6737731984970318,0.109276464041936,0.4889247192969169,5.526155194066647,-90.52096376098126,0.0001708069898327,6.71325985727103e-05,2.0336565070697716e-10
10,0.6648843619485222,0.1046807917054137,0.482043412191828,6.1624854739752575,-89.52636703937118,0.0001605343621823,7.519264585609638e-05,2.0355566481115967e-10
11,0.6362164796915653,0.0964705353677447,0.4669941054493205,4.732890729387782,-90.1770070536704,0.00016960274644,8.259699364945064e-05,2.0370089735317518e-10
12,0.6689520052581691,0.0907014341215899,0.4919619452437939,5.650247832687114,-90.26877194123112,0.0001813989508141,8.290068122557119e-05,2.0380164216674096e-10
13,0.6727093653279131,0.1123116224114365,0.4849430446138863,6.745854843582432,-89.9763363532422,0.0001686202298951,9.374433348018284e-05,2.038350714136532e-10
14,0.6485857492386519,0.1030428139341245,0.4713007112197418,6.268288505538672,-89.31399947933268,0.0001724925561389,7.955159898331988e-05,2.0404131396665604e-10
15,0.6370460042004518,0.1191047201780631,0.4594794011775789,4.957979512389205,-89.40283842776721,0.0001534921777382,8.090245231358256e-05,2.0404615864315115e-10
16,0.5764251205535293,0.1086332975420691,0.4196667255591632,4.748718995118518,-88.68329590536952,0.0001842902643432,7.318277788662258e-05,2.0404886109694248e-10
17,0.5727557574822668,0.1339842977420325,0.4064711355991003,6.278723395649127,-89.01460572005382,0.0001938160622995,6.627705115066435e-05,2.0407804261998001e-10
18,0.6382436800085278,0.1091769832717382,0.4605062904317844,7.080311646032647,-88.8567449083178,0.000189884911251,9.202925711013244e-05,2.0433761064953757e-10
19,0.6227990939090506,0.1034445048233251,0.4546579581458032,4.526006081173934,-86.8579782711767,0.0001334600748995,9.606627929292588e-05,2.043698871383896e-10
20,0.6524462171223313,0.1100837868555328,0.4728969104932242,5.644365080535309,-91.49230698653936,0.0001921368108683,7.486072455465838e-05,2.0460114052574892e-10
21,0.6176632794555981,0.1208770258409221,0.444682567177026,5.45831867405105,-90.32676444353324,0.0001823209580462,9.022268703765316e-05,2.0479483214442366e-10
22,0.6630300235225566,0.0907060365960367,0.4874723056791107,5.1226734077617095,-89.87001376086054,0.0001644070093529,6.573395523252209e-05,2.0487324913119728e-10
23,0.6657012968153817,0.0919425951298559,0.4862064691391791,7.001702150088767,-90.891157516625,0.0001932655146637,9.290726238738318e-05,2.0488800911026326e-10
24,0.5885907475197001,0.1264913589448623,0.4218044157144403,5.505778364353949,-87.7202798383143,0.0001701494342837,8.593706935249582e-05,2.0489548925759271e-10
25,0.5720620249908561,0.1295030389727072,0.4084465639318455,5.3852074927830005,-89.31899989872893,0.0001929166425684,6.287505053732724e-05,2.0503043128309443e-10
26,0.5907632942440111,0.1250949729638363,0.4226661316540504,5.624411068205697,-87.88836167039689,0.0001821791408955,9.36549741665041e-05,2.0503655368376752e-10
27,0.6134630127824721,0.1212544798340573,0.4409922236297711,5.057950328887672,-88.2448518752909,0.0001588705919568,7.481078386470936e-05,2.0512506712327563e-10
28,0.6181425798549116,0.1089619354949276,0.4493473203742717,4.828004172104524,-86.87916084067378,0.0001559383945685,8.835489984803666e-05,2.0512874703315438e-10
