,beta,b,gamma,eta_0,phi,I0,Ii0,Error
0,0.3028411525205883,0.0472563857562871,0.2286132178459127,6.3050726384272044,-48.522417046204765,0.0002002405203862,8.77482862777525e-05,2.0019151559026415e-10
1,0.2767384071985028,0.041502288266214,0.2092446688869628,5.258788416863391,-51.77751076298871,0.0002024235339844,7.070934384415267e-05,2.0265205605261276e-10
2,0.2174249581252933,0.0533580325701333,0.1636240164290534,4.036565921661671,-51.73754351224391,0.0002243677364624,9.613223324093058e-05,2.0365210331620095e-10
3,0.2753503506489813,0.0534614231172836,0.2091321007584297,3.926698034246269,-49.18190380112296,0.0001685029009116,7.64090102064536e-05,2.0410102963633215e-10
4,0.2537910961487077,0.0336125774918289,0.1923945965242445,5.668742292632427,-48.212788400016834,0.00022773961191,4.352888598103762e-05,2.0416409393772278e-10
5,0.271036637398083,0.065735401158562,0.2012312456676983,5.910779391373162,-50.11901477239297,0.0001876063502651,6.492485139464596e-05,2.0417206257952151e-10
6,0.306981042994503,0.0338109676455376,0.2321525625557368,6.618795652351462,-50.08609451762332,0.000200783679399,7.371720509501504e-05,2.0466199902415167e-10
7,0.1991809318280565,0.0818542735705136,0.1454981113314907,4.915209729236338,-48.16893596936852,0.0002229585207498,7.6064246792693e-05,2.0474735727496648e-10
8,0.2378874300372532,0.0607818774206119,0.1771431904335059,4.341438436351851,-50.324321878115605,0.0001738854187021,5.390439343913737e-05,2.0485389712885656e-10
9,0.179937850042414,0.0927685451827369,0.1316685759296687,3.089567430816732,-47.64573735304817,0.0001788128639988,9.487198382653607e-05,2.0524343513917454e-10
10,0.1902599701501056,0.0635153572254529,0.1417735384774724,2.775493736742008,-49.05636878419419,0.0001796332018143,0.0001035804820831,2.0545577413012152e-10
11,0.2276953897449064,0.044732761903884,0.1721176718940993,3.5483557296894883,-55.0143951656321,0.000188350389817,7.955498217192835e-05,2.0550683954464732e-10
