,beta,b,gamma,c,eta_0,epsilon,kappa,lambda,phi,I0,x0,C0,Error_I,Error_X
15000,0.1729573169200306,0.1516700588679453,0.1249459984113375,5.082008452921583e-05,9.574646281250317,0.4244879371240964,2139.130431151367,0.0051005822944619,-84.99642162140374,0.0003135244883411,0.0611483948698041,4.383519159164826e-05,1.4056732490483456e-10,0.139153537123135
15001,0.187721525718832,0.0758843884414833,0.1474659959595614,6.730345519642804e-05,6.492383431972836,0.438927544746041,1378.0938599389103,0.0089803207453508,-61.48934371978589,0.0003342560081698,0.0339776522879613,9.941376488161984e-05,1.7005873168996942e-10,0.1631781639247206
15002,0.2217030784813815,0.0236634105506509,0.1795611689459552,5.832650394003695e-05,9.326671023823335,0.2683883280880796,2044.632972032775,0.0058434715408831,-85.59564071368766,0.0003407156414516,0.0610062295519415,1.255059326879868e-05,2.0032278247027167e-10,0.1400535773684993
15003,0.187991919342494,0.0318814700393809,0.1074286868785714,1.0734218768384384e-05,9.8555441230346,0.4792166287195616,2165.744612620988,0.0382563217399872,-80.5069836117758,0.0002997507471731,0.0594118736117365,7.15405098213834e-05,2.0486356859665132e-10,0.0533647633282942
15004,0.1546141974787697,0.1422441966231921,0.11283906975543,2.84432476365449e-05,9.510475678834718,0.6368566754396152,1699.1308014065412,0.0222459959268894,-46.20644962532157,0.0002983551073143,0.0459726237895858,0.0001045137711633,2.053332963498176e-10,0.1647355922161009
15005,0.1479227999092832,0.1273303854644573,0.1130452713279918,6.271341883138763e-05,7.116055419816279,0.3186685766262144,2396.2288424513263,0.0102567170608633,-57.16517059832408,0.0003105855797731,0.0495516132360993,3.177597790847727e-05,2.1180529268316802e-10,0.166690223882076
15006,0.147128975281163,0.2238260637772325,0.1070396343354857,5.076278367570692e-05,7.515616714975261,0.4058815432102884,1080.1266626110596,0.0156685710164551,-62.05720081057815,0.0002532937409226,0.040245799145874,3.089664638632644e-05,2.3574961835369634e-10,0.1744558475084398
15007,0.1420538813964434,0.1475768817842259,0.1006520654800356,7.360559745363214e-05,8.622440359549833,0.4419416292926339,930.2630541099176,0.0123734987363231,-60.93236074245497,0.0003408004032912,0.0736988157418472,2.012642781584729e-05,2.384688646709192e-10,0.1399786319111389
15008,0.1974197668681622,0.2249199558447622,0.1102703891680406,5.770934606595604e-05,8.43874908680407,0.3342594093660795,1695.2742013024258,0.010669087368759,-94.72330799422284,0.0003410285798353,0.034426425263839,2.6037142083684392e-05,2.53445031605707e-10,0.1700066633695165
15009,0.1912097487322538,0.2117595316914462,0.135226866697995,9.613677449696408e-06,8.620747619198795,0.4144742041579993,354.7679203232551,0.0152825449044915,-87.47569710635933,0.0003091227280631,0.0548716324109924,1.8659899924068982e-05,2.731609480333445e-10,0.100891765848732
