,beta,b,gamma,eta_0,phi,I0,Ii0,Error
0,0.5572723583584989,0.3242845601703741,0.3484888533211657,9.560232669737712,-77.92932822548048,1.9822458395743345e-05,2.9672355490838677e-05,4.258396176882911e-12
1,0.6396940869200449,0.2590011221979145,0.4215870877597337,8.926855141953432,-79.88442236716077,2.35610521151888e-05,2.983986380155897e-05,4.281899414000276e-12
2,0.6095595196411417,0.2925867390946496,0.3924013619503072,5.423043812467572,-77.97112872449665,1.098585000832741e-05,2.0090384584934197e-05,4.316934398576413e-12
3,0.6924350220234197,0.2723083449352735,0.4519643448091181,8.42818524533473,-80.56964682048343,1.5911391140111433e-05,3.4976792026292186e-05,4.3561498862237606e-12
4,0.6707894880536774,0.2626034920290159,0.4420460865630544,8.173462845131818,-79.0686779286051,1.7546133009866594e-05,3.551822708658358e-05,4.392979420153033e-12
5,0.6686589453363502,0.2924993602943766,0.4293287517153167,9.206007078931243,-80.25503180140143,1.6240135854996395e-05,5.1503964788810345e-06,4.4348240178623706e-12
6,0.6457608699286241,0.2887668175308819,0.4155337045960052,9.041704514053308,-79.8963915321375,1.6764868885194853e-05,3.053609414870532e-05,4.4364964692164855e-12
7,0.5467134822822379,0.32697202839397,0.3420975357043708,8.892771484633824,-79.18158112824891,2.449076521620961e-05,6.4865379239769975e-06,4.438201656624856e-12
8,0.6893053696277633,0.285448400230363,0.4460745105014284,6.749705162715387,-80.00177691455772,1.0820520638099805e-05,3.3596005529209294e-05,4.442260463132835e-12
9,0.75405267727858,0.25991747668396,0.4949668225594321,7.700275085601397,-80.44028189831766,1.0078652262243245e-05,4.488930502664226e-05,4.480356309221361e-12
10,0.5411369425109589,0.3352001815966787,0.3361725536452624,9.029028363764848,-77.86388758666168,1.903096484416643e-05,3.584402173965728e-05,4.5074900208536306e-12
11,0.7136093584487566,0.2293032321374332,0.4806625660051087,9.501859145977807,-79.35942642783769,1.9524788663077537e-05,1.934001055273532e-05,4.5304905604821296e-12
